utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"['okay,  /']",okay  ,"fo_o_fw_""_by_bc",FEMALE,0
['{d so } do you all keep a budget? /'],d so  do you all keep a budget ,qy,FEMALE,7
"['no,  /']",no  ,nn,MALE,13
"[""we don't. /""]",we dont ,sd,MALE,1
"[""you don't? /""]",you dont ,qy,FEMALE,7
"['no,  /']",no  ,nn,MALE,13
"['[ i, +  i ] make so much money  here at t i [ that, +  that ] we just spend it. /']", i   i  make so much money  here at t i  that   that  we just spend it ,sd,MALE,1
['<laughter>.'],laughter,x,FEMALE,8
['{c and } we never have a problem meeting  it from paycheck to paycheck.  /'],c and  we never have a problem meeting  it from paycheck to paycheck  ,sd,MALE,1
"[""it's pretty neat being that independently wealthy and  working for a major semi-conductor firm,  /""]",its pretty neat being that independently wealthy and  working for a major semiconductor firm  ,sv,MALE,3
['you can just spend it well. /'],you can just spend it well ,sd,MALE,1
"['are you being smart,  /']",are you being smart  ,qy,FEMALE,7
['{c or } are you serious? /'],c or  are you serious ,qrr,FEMALE,33
"[""i'm being facetious.  /""]",im being facetious  ,sd,MALE,1
"[""i'm being very comical.  /""]",im being very comical  ,sd,MALE,1
"['{f uh, } we have a budget, {f um } --']",f uh  we have a budget f um  ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
['-- that works well.  /'], that works well  ,+,MALE,0
"['i kind of  look at it for more of a, - /']",i kind of  look at it for more of a  ,sd,MALE,1
"['we have [ a financial, {f uh, } analyst, +   a finance administrator, ] i guess, [ that, +   that, ] {f uh, } - /']",we have  a financial f uh  analyst    a finance administrator  i guess  that    that  f uh   ,sd,MALE,1
"['i guess the financial planners, the training now.  /']",i guess the financial planners the training now  ,sd,MALE,1
"[""we've had it for about four years here. /""]",weve had it for about four years here ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"['got our businesses [ [ and, +  and, ] +   and ] our life in line, how to manage credit cards, how to put away, say for, {d you know, }  money markets and this kind of thing. /']",got our businesses   and   and     and  our life in line how to manage credit cards how to put away say for d you know   money markets and this kind of thing ,sd,MALE,1
['yeah. /'],yeah ,b,FEMALE,2
