utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
['kids too? /'],kids too ,qy,FEMALE,7
['yeah <laughter>.  #  ((   )) . # /'],yeah laughter          ,ny,MALE,9
"['# {f oh, } you laugh.  /']", f oh  you laugh  ,sd,FEMALE,1
"['#  how many,  /']",  how many  ,qw,FEMALE,12
['what ages?  <laughter>. /'],what ages  laughter ,qw,FEMALE,12
"['{d well, } twenty-seven up. /']",d well  twentyseven up ,sd,MALE,1
['{f uh. } /'],f uh  ,b,FEMALE,2
['{c and } we had five. /'],c and  we had five ,sd,MALE,1
"[""you've been through the fun part <laughter>. /""]",youve been through the fun part laughter ,qy^d,FEMALE,16
"['{f oh, } yeah. /']",f oh  yeah ,ny,MALE,9
['<laughter>.'],laughter,x,FEMALE,8
['{c and } how about yourself? /'],c and  how about yourself ,qo,MALE,25
['i have a four and a half and a three. /'],i have a four and a half and a three ,sd,FEMALE,1
['oh.  /'],oh  ,bk,MALE,14
['# {d well. } # -/'], d well   ,%,MALE,5
"[""# {c so. } # it's, - /""]", c so   its  ,%,FEMALE,5
"[""[ i, + i'm ] sure there's a lot  of differences [ in the way, + in the way ] it's done now and then. /""]", i  im  sure theres a lot  of differences  in the way  in the way  its done now and then ,sv,FEMALE,3
['yeah.  /'],yeah  ,aa,MALE,4
"['{d well, } when mine were growing up,  i did some traveling [ and +  but ] not that extensively  /']",d well  when mine were growing up  i did some traveling  and   but  not that extensively  ,sd,MALE,1
"['{c but } i always  ((   ))   just made it a point, {d you know, } to spend about ten minutes with each one of them. /']",c but  i always        just made it a point d you know  to spend about ten minutes with each one of them ,sd,MALE,1
['yeah. /'],yeah ,b,FEMALE,2
"['{c so } it was an hour, # {d you know. } # /']",c so  it was an hour  d you know   ,sd,MALE,1
['# yeah. # /'], yeah  ,b,FEMALE,2
"['{c but } whether it was going back and laying in bed with  them and just shooting the breeze or whatever, telling them stories or reading to them. /']",c but  whether it was going back and laying in bed with  them and just shooting the breeze or whatever telling them stories or reading to them ,sd,MALE,1
['what was the age difference between the youngest  and the oldest? /'],what was the age difference between the youngest  and the oldest ,qw,FEMALE,12
['<laughter> six years. /'],laughter six years ,sd,MALE,1
['{c so } they were all real close? /'],c so  they were all real close ,qy,FEMALE,7
['yeah. /'],yeah ,ny,MALE,9
"[""that's tough.  /""]",thats tough  ,ba,FEMALE,6
