utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
['hi ed. /'],hi ed ,fp,FEMALE,32
['hi. /'],hi ,fp,MALE,32
['hi. /'],hi ,fp,FEMALE,32
"['{f uh, } books,  /']",f uh  books  ,sd,MALE,1
"[""[ i've, +  actually i am ]  reading a couple of different books, <sigh> {f uh, }  /""]", ive   actually i am   reading a couple of different books sigh f uh   ,sd,MALE,1
"['one [ wa-, +  is, ] {f uh, } a story,  /']",one  wa   is  f uh  a story  ,sd,MALE,1
"['{d well } it is not a story,  /']",d well  it is not a story  ,sd,MALE,1
"['it is a collection [ of, +  {f uh, } of ] memos, supposedly written by howard hughes, {f uh, } /']",it is a collection  of   f uh  of  memos supposedly written by howard hughes f uh  ,sd,MALE,1
['{f oh. } /'],f oh  ,%,FEMALE,5
"['[ that was, + {f uh, } that was, ] - /']", that was  f uh  that was   ,%,MALE,5
['it came out a couple of years ago  /'],it came out a couple of years ago  ,sd,MALE,1
['{c and } i have just now gotten around to reading it.  /'],c and  i have just now gotten around to reading it  ,sd,MALE,1
"['i have had it a couple years,  /']",i have had it a couple years  ,sd,MALE,1
"['{c but, } {f uh, } [ jus-, +  jus-, ] <sigh>, -/']",c but  f uh   jus   jus  sigh ,%,MALE,5
['who wrote that? /'],who wrote that ,qw,FEMALE,12
"[""{f oh, } i do not remember the man's name,  /""]",f oh  i do not remember the mans name  ,sd,MALE,1
"['he [ was, +  used ] to be a reporter for, {f uh, } i think, the new york times,  or the washington post, one of the two,  /']",he  was   used  to be a reporter for f uh  i think the new york times  or the washington post one of the two  ,sd,MALE,1
"['{c and } he supposedly [ got [ [ this, +  this, ] [ s-, +  story, ] +   {f uh, } {e i mean } this, {f uh, } ] + was contacted by this ] guy who had [ these, +  these ]  memos he wanted to sell,  /']",c and  he supposedly  got   this   this   s   story     f uh  e i mean  this f uh    was contacted by this  guy who had  these   these   memos he wanted to sell  ,sd,MALE,1
"['{c and } [ they were, + they were ] ones that had supposedly been stolen from the,  {f uh, } corporate headquarters [ in, +  {f uh, } in ] los angeles. /']",c and   they were  they were  ones that had supposedly been stolen from the  f uh  corporate headquarters  in   f uh  in  los angeles ,sd,MALE,1
['{f huh. } /'],f huh  ,b,FEMALE,2
"['they, on - /']",they on  ,%,MALE,5
"['i think it was romain drive  or romain street or something,  there in los angeles,  /']",i think it was romain drive  or romain street or something  there in los angeles  ,sd,MALE,1
"['they used to have a, - /']",they used to have a  ,sd,MALE,1
"['{e or, } i guess they still do, {f uh, }  /']",e or  i guess they still do f uh   ,sv,MALE,3
"['had a, {f uh, } {f uh, } big warehouse kind of thing, which had  offices  /']",had a f uh  f uh  big warehouse kind of thing which had  offices  ,sd,MALE,1
"['{c and } it was sort of nondescript [ for a, + {f uh, } {d you know, } for the ]  size of the company which, inside was basically a store house of a bunch of stuff he  collected,  /']",c and  it was sort of nondescript  for a  f uh  d you know  for the   size of the company which inside was basically a store house of a bunch of stuff he  collected  ,sd,MALE,1
"['[ he, +  he ] was, {f uh, } a great collector of everything,  /']", he   he  was f uh  a great collector of everything  ,sd,MALE,1
"['[ [ [ he, +  he, ] +  he  did not, ] +  he did not ] throw anything away  /']",   he   he    he  did not    he did not  throw anything away  ,sd,MALE,1
"['{c and, } {f uh, } supposedly this guy [ had, +   had ] been breaking there for awhi-,  /']",c and  f uh  supposedly this guy  had    had  been breaking there for awhi  ,sd,MALE,1
"['he was a, {d like, } {d you know, } burglar,  had been breaking there awhile [ and, + {f uh, }']",he was a d like  d you know  burglar  had been breaking there awhile  and  f uh ,sd,MALE,1
['i see. /'],i see ,b,FEMALE,2
"['and ] had ended up, - /']",and  had ended up  ,+,MALE,0
"['he had some accomplices that were kind of suspect,  /']",he had some accomplices that were kind of suspect  ,sd,MALE,1
"['{c and } [ they, + {f uh, } they ] broke in [ one, +  one ]  night and found a bunch of memos that were, {f uh, } supposedly [ from, +  from ] hughes [ to, +   {f uh, } to ] his [ main, +  {f uh, } main ]  [ a-, +  assistant ] back, {f uh, } in the fifties and [ si-, +  {f well, } i guess, in the sixties, ]']",c and   they  f uh  they  broke in  one   one   night and found a bunch of memos that were f uh  supposedly  from   from  hughes  to    f uh  to  his  main   f uh  main    a   assistant  back f uh  in the fifties and  si   f well  i guess in the sixties ,sd,MALE,1
"['{d well, } that is interesting. /']",d well  that is interesting ,ba,FEMALE,6
['up until his death. /'],up until his death ,+,MALE,0
['right. /'],right ,b,FEMALE,2
"[""{d so, } it's pretty interesting work  /""]",d so  its pretty interesting work  ,sv,MALE,3
"['{c so, } -/']",c so  ,%,MALE,5
['that is an intriguing type of book to  be reading and trying to keep up on things like that. /'],that is an intriguing type of book to  be reading and trying to keep up on things like that ,sv,FEMALE,3
"['yeah,  /']",yeah  ,b,MALE,2
"[""[ [ it's a, + it's a little, ] +   it's a little ] hard  ((   ))  /""]",  its a  its a little     its a little  hard       ,sv,MALE,3
['you have to plod through it  /'],you have to plod through it  ,sv,MALE,3
"['{c and, } {d you know, } it does not  have a real story, or any plot, /']",c and  d you know  it does not  have a real story or any plot ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
['you just kind of have to read and  understand what is going on. /'],you just kind of have to read and  understand what is going on ,sd,MALE,1
"['{c and, } they have not made  a movie of the week of it yet. /']",c and  they have not made  a movie of the week of it yet ,sd,FEMALE,1
"['no,  /']",no  ,aa,MALE,4
['i have not seen it. /'],i have not seen it ,sd,MALE,1
['<laughter>.'],laughter,x,FEMALE,8
"[""[ {c but } it's, + {c but } [ it is, +   it is ] ] real interesting, /""]", c but  its  c but   it is    it is   real interesting ,sv,MALE,3
['yeah. /'],yeah ,b,FEMALE,2
"['{f uh, } i also reading, {f uh, }  [ the, +  {f uh, } thi-, ] - /']",f uh  i also reading f uh    the   f uh  thi   ,sd,MALE,1
"[""it's [ [ a, +  an old, ] + another old ] book that i happen to have.  /""]",its   a   an old   another old  book that i happen to have  ,sd,MALE,1
['i am sort of rereading it.  /'],i am sort of rereading it  ,sd,MALE,1
"[""it's, {f uh, } a book about, {f uh, } the bermuda triangle,  /""]",its f uh  a book about f uh  the bermuda triangle  ,sd,MALE,1
"[""{c but } [ [ it's, +   {f uh, } it's about, ] +  it's ] a real good book that a guy, {f uh, } wrote who was, {f uh, } a research  librarian,  /""]",c but    its    f uh  its about    its  a real good book that a guy f uh  wrote who was f uh  a research  librarian  ,sd,MALE,1
"['he wrote, {f uh, } sort of <sigh> debunking many of [ the, +  {f uh, } {f uh, }   ((   ))  the ] stories about the, {f uh, } bermuda triangle.  {d you know, }  /']",he wrote f uh  sort of sigh debunking many of  the   f uh  f uh         the  stories about the f uh  bermuda triangle  d you know   ,sd,MALE,1
"['[ he, +   he ] was thinking [ [ many, +']", he    he  was thinking   many ,sd,MALE,1
['{f uh. } /'],f uh  ,%,FEMALE,5
"['many ] of [ the +  <sigh> the ] myths, +  many of the myths ] of the triangle [ were, +  {f uh, } actually, <sigh> could be ] explained, /']",many  of  the   sigh the  myths   many of the myths  of the triangle  were   f uh  actually sigh could be  explained ,+,MALE,0
"['explained  ((   )) , /*[[listen; could be br]]']",explained       listen could be br,sd,FEMALE,1
"['[ {c and, } + {d you know. }  {f uh, } {c and } ]  the [ rea-, + reason ] i [ was, +  ((   ))  picked ] it back up was in light of [ all the, + {f uh, }  ((   ))  {d well } when they found [ the, +  {f uh, } the ] ] airplanes [ on the, +  in the ] atlantic, thinking they  were flight nineteen.  /']", c and   d you know   f uh  c and    the  rea  reason  i  was        picked  it back up was in light of  all the  f uh        d well  when they found  the   f uh  the   airplanes  on the   in the  atlantic thinking they  were flight nineteen  ,sd,MALE,1
"[""{c and } i don't know if you are familiar with that at all  /""]",c and  i dont know if you are familiar with that at all  ,sd,MALE,1
"[""{c but } it's, {f uh, } - /""]",c but  its f uh   ,%,MALE,5
"['flight nineteen [ was one of the, +  {f uh, } <sigh> was [ a, +  a ] ] collection  of a flight of five navy adventures at the end of world war two.  right after world war two,  /']",flight nineteen  was one of the   f uh  sigh was  a   a   collection  of a flight of five navy adventures at the end of world war two  right after world war two  ,sd,MALE,1
"['{c and } [ they were, +  <sigh> they were ] lost  /']",c and   they were   sigh they were  lost  ,sd,MALE,1
"['{c and, } {f uh, } -/']",c and  f uh  ,%,MALE,5
['supposedly scooped up by the triangle. /'],supposedly scooped up by the triangle ,qy^d,FEMALE,16
"['yeah,  /']",yeah  ,ny,MALE,9
