utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"['i just pressed my, {f uh. } -/']",i just pressed my f uh  ,sd,MALE,1
"[""we're supposed to talk about recent political developments. /""]",were supposed to talk about recent political developments ,sd,MALE,1
"[""i got one that's interesting,  [ not too, + not too ] controversial,  /""]",i got one thats interesting   not too  not too  controversial  ,sd,MALE,1
"['i, - /']",i  ,%,MALE,5
"['{d you know, } not, - /']",d you know  not  ,%,MALE,5
"[""doesn't matter whether you're democrat or republican.  /""]",doesnt matter whether youre democrat or republican  ,sd,MALE,1
"['[ i, + i ] do get somewhat of a kick out of, - /']", i  i  do get somewhat of a kick out of  ,sd,MALE,1
"['because schwartzkopf, or the other generals, who i admire, how everyone wants to make, get them in politics. - /']",because schwartzkopf or the other generals who i admire how everyone wants to make get them in politics  ,sv,MALE,3
['i think --'],i think ,sv,MALE,3
['uh-huh. /'],uhhuh ,b,MALE,2
"[""-- that's kind of an interesting recent thing,  that i could think of recently that, {f uh, } - /""]", thats kind of an interesting recent thing  that i could think of recently that f uh   ,+,MALE,0
['i was wondering what you thought about that --'],i was wondering what you thought about that ,sd,MALE,1
['yeah. /'],yeah ,b,MALE,2
"['-- [ making the general, + {f uh, } getting a general ]  into politics. /']",  making the general  f uh  getting a general   into politics ,+,MALE,0
"[""they want him because he's popular, not because he can do the job. /""]",they want him because hes popular not because he can do the job ,sv,MALE,3
['right.  /'],right  ,aa,MALE,4
"[""{d well, } [ i've, + i've ]  been thinking about it,  /""]",d well   ive  ive   been thinking about it  ,sd,MALE,1
"['{c and } [ i, + {f uh, } i ] kind of get a kick out of they always want the hero,  /']",c and   i  f uh  i  kind of get a kick out of they always want the hero  ,sd,MALE,1
"['those, - /']",those  ,%,MALE,5
"[""we're looking for a hero.  /""]",were looking for a hero  ,sv,MALE,3
"[""{d well, } time magazine was saying that in essence <child>   the general's staff was comparing to corporate presidents,  /""]",d well  time magazine was saying that in essence child   the generals staff was comparing to corporate presidents  ,sd,MALE,1
"['{c and } they said in  general, generals are more familiar with training, that they believe in training more. /']",c and  they said in  general generals are more familiar with training that they believe in training more ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
"['they are much more educated than the average corporate president,  /']",they are much more educated than the average corporate president  ,sd,MALE,1
"[""{c and so }  they really were very positive on a general's staff  person having [ a, + a ] very much better education than the average, {f uh, }  corporate president.  /""]",c and so   they really were very positive on a generals staff  person having  a  a  very much better education than the average f uh   corporate president  ,sd,MALE,1
"['{c so, } i thought {d well, } maybe. /']",c so  i thought d well  maybe ,sd,MALE,1
"['[ i, + i ] think they probably have a better education than the average congressman. /']", i  i  think they probably have a better education than the average congressman ,sv,MALE,3
"['{d well, } that, too,  /']",d well  that too  ,aa,MALE,4
"['that, too.  /']",that too  ,aa,MALE,4
"['{c and, } {f uh, } {d you know, } they talk about the army  /']",c and  f uh  d you know  they talk about the army  ,sd,MALE,1
['and because of the war  /'],and because of the war  ,sd,MALE,1
"['{c and } why did we win, and all that,  /']",c and  why did we win and all that  ,sd,MALE,1
['{c and } they talked about how the training was so important.   /'],c and  they talked about how the training was so important   ,sd,MALE,1
"[""<child> {c and } that's so important in industry,  /""]",child c and  thats so important in industry  ,sd,MALE,1
"[""{c so, } {d you know, } they're liable to be right.    that [ generals, + generals ] in the service, - /""]",c so  d you know  theyre liable to be right    that  generals  generals  in the service  ,sv,MALE,3
"['{c and } schwartzkopf, {f uh, } {d you know, }  might make a good, {f uh, } politician, whether it be governor or whatever, {d you know. } /']",c and  schwartzkopf f uh  d you know   might make a good f uh  politician whether it be governor or whatever d you know  ,sv,MALE,3
"[""[ [ he, + he, ] + {d you know, } we ]  know he's a good leader,  /""]",  he  he   d you know  we   know hes a good leader  ,sv,MALE,3
"[""we know he's a good organizer.  /""]",we know hes a good organizer  ,sv,MALE,3
"[""the question is, {d you know, } can he be the  man who's ultimately responsible.  /""]",the question is d you know  can he be the  man whos ultimately responsible  ,sd,MALE,1
"['{d you know, } like what he said  is, {d you know, } a lot of times in his interviews he was talking about, {d you know, }  people asking why are you doing this, why are you doing that.  /']",d you know  like what he said  is d you know  a lot of times in his interviews he was talking about d you know   people asking why are you doing this why are you doing that  ,sd,MALE,1
"[""he says, i'm following the orders of my president.  /""]",he says im following the orders of my president  ,sd,MALE,1
"[""i'm not the one who writes the orders.  /""]",im not the one who writes the orders  ,^q,MALE,19
"[""i'm just the one who follows them. /""]",im just the one who follows them ,^q,MALE,19
"['yeah,  /']",yeah  ,b,MALE,2
"[""it's interesting how they say that when they're usually the top dogs,  {d you know, } /""]",its interesting how they say that when theyre usually the top dogs  d you know  ,sv,MALE,3
"['everyone has a boss, of course. /']",everyone has a boss of course ,sv,MALE,3
"['{d you know, } schwartzkopf was ordered to get iraq out of kuwait. /']",d you know  schwartzkopf was ordered to get iraq out of kuwait ,sd,MALE,1
['yeah. /'],yeah ,b,MALE,2
"[""{c and so } he went to the president and said, {d okay, } here's how i want to do it. /""]",c and so  he went to the president and said d okay  heres how i want to do it ,sd,MALE,1
"[""{c but } he wasn't the one that decided iraq needed to get out of kuwait. /""]",c but  he wasnt the one that decided iraq needed to get out of kuwait ,sd,MALE,1
"['no,  /']",no  ,aa,MALE,4
"[""that's true,  /""]",thats true  ,aa,MALE,4
"[""that's true. /""]",thats true ,aa,MALE,4
['uh-huh. /'],uhhuh ,b,MALE,2
"['{f uh, } [ you, + you ] pick one. /']",f uh   you  you  pick one ,ad,MALE,22
['<laughter>.'],laughter,x,MALE,8
"['i just thought of that one [ when, + when ]  they brought up about politics.  /']",i just thought of that one  when  when   they brought up about politics  ,sd,MALE,1
"['that was, {f uh, } pretty easy -- /']",that was f uh  pretty easy  ,sv,MALE,3
['yeah. /'],yeah ,b,MALE,2
"[""-- you don't have to pick democratic or republican,  /""]", you dont have to pick democratic or republican  ,ad,MALE,22
"['you can pick anything you want,  /']",you can pick anything you want  ,ad,MALE,22
['go ahead. /'],go ahead ,ad,MALE,22
"[""{d well, } the thing that i'm <children> wondering about is how we get a new congress.  /""]",d well  the thing that im children wondering about is how we get a new congress  ,sd,MALE,1
"['how do we get some of these guys that have been in there for so  long, <children> - /']",how do we get some of these guys that have been in there for so  long children  ,qh,MALE,26
['how do we get them <<pause>> to not get reelected over and over again. /'],how do we get them pause to not get reelected over and over again ,qh,MALE,26
