utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"['what is it about, nursing homes? /']",what is it about nursing homes ,qw,MALE,12
"['{f uh-, } {d well, } about nursing homes,']",f uh  d well  about nursing homes,sd,FEMALE,1
['yeah. /'],yeah ,b,MALE,2
"['[ and, + and ] older people.  /']", and  and  older people  ,+,FEMALE,0
"['{f uh, } my husband has a grandmother that lives with his mother -- /']",f uh  my husband has a grandmother that lives with his mother  ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
"[""--  {c and } they're just really close here.  /""]",  c and  theyre just really close here  ,sd,FEMALE,1
['{c and } his mother has bad health too  /'],c and  his mother has bad health too  ,sd,FEMALE,1
"[""{c and so } i go over sometimes in the day when he's at work  /""]",c and so  i go over sometimes in the day when hes at work  ,sd,FEMALE,1
"['{c and } i, {f um, } help with her and bathe her and feed her. /']",c and  i f um  help with her and bathe her and feed her ,sd,FEMALE,1
['right. /'],right ,b,MALE,2
"[""[ {c and, } + {f uh, } {c and } ] [ i, + that's hard to be a caretaker i ] really believe.  /""]", c and   f uh  c and    i  thats hard to be a caretaker i  really believe  ,sv,FEMALE,3
"[""it's really difficult to be a caretaker twenty-four hours a day. /""]",its really difficult to be a caretaker twentyfour hours a day ,sv,FEMALE,3
"[""{f oh, } it's very difficult  /""]",f oh  its very difficult  ,aa,MALE,4
['i know. /'],i know ,aa,MALE,4
"[""{f uh, } [ i-, + she ] has alzheimer's and does not remember, {f uh, } a lot --""]",f uh   i  she  has alzheimers and does not remember f uh  a lot ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
['-- if anything. /'], if anything ,+,FEMALE,0
['uh-huh. /'],uhhuh ,b,MALE,2
"['{c and so } she asks the same questions over and over again.  which is not [ un-, + {d you know, } unrealistic. ] /']",c and so  she asks the same questions over and over again  which is not  un  d you know  unrealistic  ,sd,FEMALE,1
['right. /'],right ,b,MALE,2
"['{f um, } {c and so } you just have to try and be patient and answer them again or  just answer another question. /']",f um  c and so  you just have to try and be patient and answer them again or  just answer another question ,sd,FEMALE,1
['yeah. /'],yeah ,b,MALE,2
"['{f uh, } i, {f uh, } - /']",f uh  i f uh   ,%,FEMALE,5
"['(( some ))  nights his mother calls me and says can your family, - /']", some   nights his mother calls me and says can your family  ,sd,FEMALE,1
['{c and } just bring the kids  (( in ))  the family  /'],c and  just bring the kids   in   the family  ,^q,FEMALE,19
"['{c and } just come over [ and, + and ] visit grandma because she gets very disoriented. /']",c and  just come over  and  and  visit grandma because she gets very disoriented ,^q,FEMALE,19
"['yeah,  /']",yeah  ,b,MALE,2
['how old is she? /'],how old is she ,qw,MALE,12
"[""she's ninety-two. /""]",shes ninetytwo ,sd,FEMALE,1
"['{f uh, } [ my, + {d see } my ] father is ninety-two  /']",f uh   my  d see  my  father is ninetytwo  ,sd,MALE,1
"['{c and } [ still, + {f uh, } he and mother still ] live at the house and drive [ and -- +']",c and   still  f uh  he and mother still  live at the house and drive  and  ,sd,MALE,1
"[""{f oh, } i think that's wonderful. /""]",f oh  i think thats wonderful ,sv,FEMALE,3
"['-- and ] do the whole thing,  /']", and  do the whole thing  ,+,MALE,0
"['{c but } {d you know } [ if something would, + {f uh, } whenever something ] happens to one of them then,']",c but  d you know   if something would  f uh  whenever something  happens to one of them then,sd,MALE,1
"['{d well, } -/']",d well  ,%,FEMALE,5
"[""i don't know what i'll do up there. /""]",i dont know what ill do up there ,+,MALE,0
['uh-huh. /'],uhhuh ,b,FEMALE,2
"['[ i, + i ] just know [ that + ] too many horror stories about nursing homes  /']", i  i  just know  that   too many horror stories about nursing homes  ,sd,MALE,1
"['{c and so, } -/']",c and so  ,%,MALE,5
