utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"['{f um, } /']",f um  ,%,FEMALE,5
['{d so } you have a son? /'],d so  you have a son ,qy^d,FEMALE,16
"['i have an older son,  /']",i have an older son  ,na,FEMALE,21
['yeah.  /'],yeah  ,ny,FEMALE,9
"[""he doesn't have any children yet though. /""]",he doesnt have any children yet though ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"[""{f uh, } he's thirty-seven  /""]",f uh  hes thirtyseven  ,sd,FEMALE,1
"[""{c and } i don't know if  he's ever going to have any or not,  /""]",c and  i dont know if  hes ever going to have any or not  ,sd,FEMALE,1
"['{c but } i do have some neighbor kids, lots of little neighbor kids. /']",c but  i do have some neighbor kids lots of little neighbor kids ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"['that, - /']",that  ,%,FEMALE,5
"['i go out and, {f uh, } i play ball with them.  /']",i go out and f uh  i play ball with them  ,sd,FEMALE,1
"[""{d you know, } it's, because like this one that lives right next door, her mother does some work at home --""]",d you know  its because like this one that lives right next door her mother does some work at home ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
['-- on computers -- /'], on computers  ,+,FEMALE,0
['uh-huh. /'],uhhuh ,b,FEMALE,2
"[""-- {c and } it just seems like she doesn't have any time for her.  which is kind of sad, {d you know. } /""]", c and  it just seems like she doesnt have any time for her  which is kind of sad d you know  ,sd,FEMALE,1
['yeah. /'],yeah ,b,FEMALE,2
['{c so } the kids are kind of hungry for someone to play with them.  /'],c so  the kids are kind of hungry for someone to play with them  ,sd,FEMALE,1
"['{c so } i will go out and play catch with them or {d you know, } [ we ha-, + ]  let the dogs outside  /']",c so  i will go out and play catch with them or d you know   we ha    let the dogs outside  ,sd,FEMALE,1
['{c and }  they will roll around on the ground and play with the dogs  /'],c and   they will roll around on the ground and play with the dogs  ,sd,FEMALE,1
"['{c but, } {f uh, } {d actually } i do think that the parents should have, {d you know, } a little  bit more time to spend with their kids. /']",c but  f uh  d actually  i do think that the parents should have d you know  a little  bit more time to spend with their kids ,sv,FEMALE,3
['i would think so.  /'],i would think so  ,aa,FEMALE,4
"['when you, - /']",when you  ,%,FEMALE,5
"['[ when, + when ]  your son was at home did you, {f uh, } working? - /']", when  when   your son was at home did you f uh  working  ,qy,FEMALE,7
['did you work  /'],did you work  ,qy,FEMALE,7
['{c or } were you able to stay at home with him? /'],c or  were you able to stay at home with him ,qrr,FEMALE,33
"['no,  /']",no  ,nn,FEMALE,13
"['when my son was at home, [ i, + i ]  did work  /']",when my son was at home  i  i   did work  ,sd,FEMALE,1
"['{c and then } he went to a baby sitter that this lady had about five other kids that she baby sat, {d you know } -- /']",c and then  he went to a baby sitter that this lady had about five other kids that she baby sat d you know   ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
['-- {c but } we always had our days off together  /'], c but  we always had our days off together  ,sd,FEMALE,1
['{c and } we went camping on vacations.  /'],c and  we went camping on vacations  ,sd,FEMALE,1
['{c so } we had a lot of time together that way {d you know. } /'],c so  we had a lot of time together that way d you know  ,sd,FEMALE,1
['yeah.  /'],yeah  ,b,FEMALE,2
"['{d well } when my mom, {f uh, } - /']",d well  when my mom f uh   ,sd,FEMALE,1
"['when i was growing up my mom worked too,   /']",when i was growing up my mom worked too   ,sd,FEMALE,1
['{c but }  she worked nights --'],c but   she worked nights ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"['-- and, {f uh, } as a nurse  /']", and f uh  as a nurse  ,+,FEMALE,0
['{c and so } she was always home for us -- /'],c and so  she was always home for us  ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"['-- {c and } i always, [ i + ] really appreciated that.    having her there [ when i was, + {d you know, } when i ] came home from school and when i  worked,  /']", c and  i always  i   really appreciated that    having her there  when i was  d you know  when i  came home from school and when i  worked  ,sd,FEMALE,1
"['{c but } now when i look back at it, it must have been a really difficult <laughter>  thing that she did --']",c but  now when i look back at it it must have been a really difficult laughter  thing that she did ,sd,FEMALE,1
['yeah. /'],yeah ,b,FEMALE,2
['-- for us. /'], for us ,+,FEMALE,0
