utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
['okay.  /'],okay  ,"fo_o_fw_""_by_bc",FEMALE,0
"['{d so, }']",d so ,qw,FEMALE,12
"['[ [ i guess, +']",  i guess ,qy^d,FEMALE,16
"['what kind of experience [ do you, + do you ] have, then with child care? /']",what kind of experience  do you  do you  have then with child care ,+,FEMALE,0
"['i think, ] + {f uh, } i wonder ] if that worked. /']",i think   f uh  i wonder  if that worked ,+,FEMALE,0
['does it say something? /'],does it say something ,qy,FEMALE,7
['i think it usually does.  /'],i think it usually does  ,sd,FEMALE,1
"['you might try, {f uh, }  /']",you might try f uh   ,ad,FEMALE,22
"[""i don't know,  /""]",i dont know  ,h,FEMALE,15
"['hold it down a little longer,  /']",hold it down a little longer  ,ad,FEMALE,22
"['{c and } see if it, {f uh, } -/']",c and  see if it f uh  ,ad,FEMALE,22
['okay <beep>.  /'],okay beep  ,aa,FEMALE,4
"['<<long pause>> {d well, }']",long pause d well ,qy,FEMALE,7
['okay  /'],okay  ,b,FEMALE,2
"['[ i, +']", i ,sd,FEMALE,1
"['does it usually make a recording or s-, /']",does it usually make a recording or s ,+,FEMALE,0
"[""{d well, } i ] don't remember.  /""]",d well  i  dont remember  ,+,FEMALE,0
"['it seemed like it did,  /']",it seemed like it did  ,sd,FEMALE,1
['{c but } <laughter> it might not.  /'],c but  laughter it might not  ,sd,FEMALE,1
['[ i guess + --'], i guess  ,sv,FEMALE,3
['okay. /'],okay ,bk,FEMALE,14
"['-- i guess ] we can start.  {f uh, } /']", i guess  we can start  f uh  ,+,FEMALE,0
['okay. /'],okay ,aa,FEMALE,4
"['no,  /']",no  ,nn,FEMALE,13
"[""[ i don't, + i don't ] have any kids.  /""]", i dont  i dont  have any kids  ,sd,FEMALE,1
"['[ [ i, + {f uh, } my sister has a, ] + she just had a ] baby,  /']",  i  f uh  my sister has a   she just had a  baby  ,sd,FEMALE,1
"[""he's about five months old  /""]",hes about five months old  ,sd,FEMALE,1
