utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"['{d well, } {f uh, } if you had to pick [ a, + a ] type of music that you like, would you be able to? / *[[functions as a qw]]']",d well  f uh  if you had to pick  a  a  type of music that you like would you be able to  functions as a qw,qy,FEMALE,7
"['{d well, } i could pick country music. / *[[answered as if to a qw]]']",d well  i could pick country music  answered as if to a qw,arp_nd,MALE,34
['country music?  /'],country music  ,qy,FEMALE,7
"['i, -/']",i ,%,FEMALE,5
"[""as i've gotten older, i've started listening more to the  words of music --""]",as ive gotten older ive started listening more to the  words of music ,sd,MALE,1
['-- and to the softer melodies. /'], and to the softer melodies ,+,MALE,0
['not originally. /'],not originally ,ng,MALE,29
['not originally.  /'],not originally  ,b^m,FEMALE,24
['where you from? /'],where you from ,qw,FEMALE,12
['georgia. /'],georgia ,sd,MALE,1
['georgia.  /'],georgia  ,b^m,FEMALE,24
"['okay, {d well, } {d see }  /']",okay d well  d see   ,bk,FEMALE,14
"[""[ i'm, + i'm ]  from chicago,  /""]", im  im   from chicago  ,sd,FEMALE,1
"[""{c so } <laughter>, {f uh, } i'm kind of in a different category here.  {f uh, } /""]",c so  laughter f uh  im kind of in a different category here  f uh  ,sd,FEMALE,1
"['if you had to pick one, what would you choose? /']",if you had to pick one what would you choose ,qw,MALE,12
"['{f uh, } i would probably go with, - /']",f uh  i would probably go with  ,sd,FEMALE,1
"[""it's tough, {f uh, } i think i would just stick with the classics.  only because, {f uh, } i like music just for music's sake  /""]",its tough f uh  i think i would just stick with the classics  only because f uh  i like music just for musics sake  ,sd,FEMALE,1
"[""{c and } <noise>, {f uh, } {d you know, } i'm from the era  where, {d you know, } we had all the rock and roll.  /""]",c and  noise f uh  d you know  im from the era  where d you know  we had all the rock and roll  ,sd,FEMALE,1
"[""i'm forty  /""]",im forty  ,sd,FEMALE,1
"[""{c so } i'm, {d you know, } part of that  whole deal /""]",c so  im d you know  part of that  whole deal ,sd,FEMALE,1
"['{c and, } {f uh, } that was a real interesting time  /']",c and  f uh  that was a real interesting time  ,sd,FEMALE,1
"['{c and, } {d you know, }  the music sort of made the whole time very rich with sound.  /']",c and  d you know   the music sort of made the whole time very rich with sound  ,sd,FEMALE,1
"[""{f uh, } {c but } i think i'd stick  back with my beethoven and my bach and my mozart <laughter>.  /""]",f uh  c but  i think id stick  back with my beethoven and my bach and my mozart laughter  ,sd,FEMALE,1
"[""{e i mean } {c because }  it's just, - /""]",e i mean  c because   its just  ,sd,FEMALE,1
['it will always be there.  /'],it will always be there  ,sd,FEMALE,1
"[""it's classic  /""]",its classic  ,sd,FEMALE,1
"[""{c and } i don't have to worry about,  {d you  know, } what's current and what's not because i haven't been  current with music for a long time.   /""]",c and  i dont have to worry about  d you  know  whats current and whats not because i havent been  current with music for a long time   ,sd,FEMALE,1
