utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"['{f ((uh, } guy)), /']",f uh  guy ,"fo_o_fw_""_by_bc",MALE,0
"['{f uh, } some of my things, /']",f uh  some of my things ,%,MALE,5
"[""[ i, + i'd ] like to have a short work week --""]", i  id  like to have a short work week ,sd,MALE,1
"['{f oh, } okay. /']",f oh  okay ,b,MALE,2
"['-- {d you know, }  /']", d you know   ,+,MALE,0
"['[ {c and } + {c and } ] we need, {d you know, } better health insurance and <noise> {d you know, } cau-, -/']", c and   c and   we need d you know  better health insurance and noise d you know  cau ,sv,MALE,3
"['okay,  /']",okay  ,b,MALE,2
['we can start off there.  /'],we can start off there  ,sd,MALE,1
"[""let's just get started. /""]",lets just get started ,ad,MALE,22
['okay. /'],okay ,aa,MALE,4
"[""if you don't want to, {d you know, } {f uh, } talk about it now and then --""]",if you dont want to d you know  f uh  talk about it now and then ,sd,MALE,1
['okay. /'],okay ,b,MALE,2
['-- be bored when we get to it <laughter>. /'], be bored when we get to it laughter ,+,MALE,0
"['okay,  /']",okay  ,b,MALE,2
['{d so } i just press one then  /'],d so  i just press one then  ,sd,MALE,1
['right? /'],right ,^g,MALE,40
['right. /'],right ,na,MALE,21
"['okay,  /']",okay  ,bk,MALE,14
['ready? /'],ready ,qy,MALE,7
['yep. /'],yep ,ny,MALE,9
['okay <beep>. /'],okay beep ,bk,MALE,14
"['{d so, } {d so } [ you think, + {f uh, } i think ] that a short work week is real nice.  /']",d so  d so   you think  f uh  i think  that a short work week is real nice  ,sv,MALE,3
"['{f uh, } i have a thirty-seven hour work week.  /']",f uh  i have a thirtyseven hour work week  ,sd,MALE,1
['how about you? /'],how about you ,qo,MALE,25
"[""{d well, } {d well } right now, [ i, + i'm ] just a student.  /""]",d well  d well  right now  i  im  just a student  ,sd,MALE,1
"['i only work part time,  /']",i only work part time  ,sd,MALE,1
"[""{c but } i've work in the job force before -- /""]",c but  ive work in the job force before  ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
['-- {c and } <smack> forty hours is just too long.  /'], c and  smack forty hours is just too long  ,sv,MALE,3
"[""you just don't have any time to do anything.  /""]",you just dont have any time to do anything  ,sv,MALE,3
"['it seems like, saturday you [ get + get ] off,  /']",it seems like saturday you  get  get  off  ,sv,MALE,3
"[""{c but } sunday you're getting ready for monday.  /""]",c but  sunday youre getting ready for monday  ,sv,MALE,3
['{c and } [ if we [ get + have ] a -- +'],c and   if we  get  have  a  ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
"['-- if we could have a ] thirty-two hour work week, with that happen is that, for every four people we could give another job. /']", if we could have a  thirtytwo hour work week with that happen is that for every four people we could give another job ,+,MALE,0
['right. /'],right ,b,MALE,2
"['{c and then } that way everybody would have a three day holiday, {d okay. }  /']",c and then  that way everybody would have a three day holiday d okay   ,sd,MALE,1
"['{c and } [ [ that way + that more, ] + that ] would make a bigger market.  /']",c and    that way  that more   that  would make a bigger market  ,sv,MALE,3
"[""we'd have, {f uh, } more recreation.  /""]",wed have f uh  more recreation  ,sv,MALE,3
['people would have time to do it.  /'],people would have time to do it  ,sv,MALE,3
['there would be less of a stress level.  /'],there would be less of a stress level  ,sv,MALE,3
"[""[ we'd have, + we'd have ] less crime.  /""]", wed have  wed have  less crime  ,sv,MALE,3
"[""[ we'd have to + we'd have to ] build less prisons, {d you know, } less police force. /""]", wed have to  wed have to  build less prisons d you know  less police force ,sv,MALE,3
"['yeah,  /']",yeah  ,b,MALE,2
['it all makes sense to me.  /'],it all makes sense to me  ,sv,MALE,3
"['{c although, } there may be more crime. {e i mean } if people have more leisure time. - /']",c although  there may be more crime e i mean  if people have more leisure time  ,sv,MALE,3
"[""it's not clear.  /""]",its not clear  ,sv,MALE,3
"['{c and } that, -/']",c and  that ,%,MALE,5
"[""[ [ [ it, + it, ] + that's, ] + that's  ] a possibility. /""]",   it  it   thats   thats   a possibility ,sv,MALE,3
['yeah. /'],yeah ,b,MALE,2
"[""[ one, + one ] of the problems they're facing now, a lot of people now, [ is that the health insurance + is that the small business ] [ can't, + can't ] offer health insurance -- /""]", one  one  of the problems theyre facing now a lot of people now  is that the health insurance  is that the small business   cant  cant  offer health insurance  ,sv,MALE,3
['uh-huh. /'],uhhuh ,b,MALE,2
"[""-- {c and } [ it, + it's ] too costly  /""]", c and   it  its  too costly  ,sv,MALE,3
"[""{c and } [ what, + what ] is happening is that they're on a policy where they have x amount of users in it, {d okay. }  /""]",c and   what  what  is happening is that theyre on a policy where they have x amount of users in it d okay   ,sd,MALE,1
['{c so } they get a specific rate.  /'],c so  they get a specific rate  ,sd,MALE,1
"['{d well } what happens is that if people start [ becoming + having ] chronic illness [ and, + and ] things like that, - /']",d well  what happens is that if people start  becoming  having  chronic illness  and  and  things like that  ,sd,MALE,1
['what happened and where they really have to spend out a lot of money --'],what happened and where they really have to spend out a lot of money ,sd,MALE,1
['right. /'],right ,b,MALE,2
"['-- for one particular, - /']", for one particular  ,+,MALE,0
"[""it's called [ a + a ] group,  /""]",its called  a  a  group  ,sd,MALE,1
"[""[ {d well } what will, + {d well } what happens ] then is that <smack> they cancel, because they just can't cancel an individual.  /""]", d well  what will  d well  what happens  then is that smack they cancel because they just cant cancel an individual  ,sd,MALE,1
"['{c so } [ they, + they ] have to cancel just {d like } life insurance.  /']",c so   they  they  have to cancel just d like  life insurance  ,sd,MALE,1
['they have to cancel everything. /'],they have to cancel everything ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
"['{d so } what they do is [ that, + that ] they cancel the insurance  /']",d so  what they do is  that  that  they cancel the insurance  ,sd,MALE,1
"[""{c and } then all the people don't have any insurance coverage. /""]",c and  then all the people dont have any insurance coverage ,sd,MALE,1
['right.  /'],right  ,b,MALE,2
"['<inhaling> {d so, } -/']",inhaling d so  ,%,MALE,5
"[""{c but, } [ [ [ i'm, + i'm, ] + {d you know, } i'm, ] + i'm ] satisfied with my job.  /""]",c but     im  im   d you know  im   im  satisfied with my job  ,sd,MALE,1
"[""[ i'm, + i'm ] an engineering student. /""]", im  im  an engineering student ,sd,MALE,1
['right. /'],right ,b,MALE,2
['{c and } i work for my instructor  /'],c and  i work for my instructor  ,sd,MALE,1
"[""{c and } [ i'm + i'm ] not a typical student.  /""]",c and   im  im  not a typical student  ,sd,MALE,1
"[""[ i'm, + i'm ] older.  /""]", im  im  older  ,sd,MALE,1
"[""[ i'm, + i'm ] in my thirties, {d okay. } /""]", im  im  in my thirties d okay  ,sd,MALE,1
