utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
['there a lot of places to camp in dallas? /'],there a lot of places to camp in dallas ,qy^d,FEMALE,16
"['{d well, } not necessarily in dallas,  /']",d well  not necessarily in dallas  ,ng,FEMALE,29
"[""{c but } it's a very short drive to areas near here. /""]",c but  its a very short drive to areas near here ,sd,FEMALE,1
['uh-huh.  /'],uhhuh  ,b,FEMALE,2
['do you do a lot of camping? /'],do you do a lot of camping ,qy,FEMALE,7
"['{d well, } i have done camping in the past.  /']",d well  i have done camping in the past  ,na,FEMALE,21
"[""{f uh, } i can't remember when the last time i actually went camping was.  /""]",f uh  i cant remember when the last time i actually went camping was  ,sd,FEMALE,1
"['it was, {f uh, } several years  ago,  /']",it was f uh  several years  ago  ,sd,FEMALE,1
['{c and then } i did most of my camping in the mountains. /'],c and then  i did most of my camping in the mountains ,sd,FEMALE,1
['uh-huh.  /'],uhhuh  ,b,FEMALE,2
"['{d well, } that must have been fun though. /']",d well  that must have been fun though ,qy^d,FEMALE,16
"['{d well, } it is.  /']",d well  it is  ,na,FEMALE,21
['i enjoy hiking and camping.  /'],i enjoy hiking and camping  ,sd,FEMALE,1
['we went to the  ((   )) - /'],we went to the       ,sd,FEMALE,1
"['. i have, {f uh, } some land there,  /']", i have f uh  some land there  ,sd,FEMALE,1
"[""{c and so } [ it's, + it's ] handy [ to, + to ] station yourself there on the land --""]",c and so   its  its  handy  to  to  station yourself there on the land ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"['-- and then make trips up into the mountains for backpacking and hiking [ and, + and ] overnight camping. /']", and then make trips up into the mountains for backpacking and hiking  and  and  overnight camping ,+,FEMALE,0
"['{d well, } that sounds fun. /']",d well  that sounds fun ,ba,FEMALE,6
['do you do most of yours in tents? /'],do you do most of yours in tents ,qy,FEMALE,7
"['yeah,  /']",yeah  ,ny,FEMALE,9
"[""we've done ours, - /""]",weve done ours  ,sd,FEMALE,1
"[""i've only been camping twice. /""]",ive only been camping twice ,sd,FEMALE,1
"['{f oh, } wow. /']",f oh  wow ,ba,FEMALE,6
"[""{c and } one of them i don't really consider camping. /""]",c and  one of them i dont really consider camping ,sd,FEMALE,1
['{f um. } /'],f um  ,b,FEMALE,2
['it was on the edge of the lake  /'],it was on the edge of the lake  ,sd,FEMALE,1
