utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"['is, {f uh, } kind of fun. - /']",is f uh  kind of fun  ,"fo_o_fw_""_by_bc",MALE,0
"[""it's best done when you have leisure time  /""]",its best done when you have leisure time  ,sv,MALE,3
['{c and } i had more of that in my childhood days than i have now <breathing>.  /'],c and  i had more of that in my childhood days than i have now breathing  ,sd,MALE,1
"['{c and } i grew up in an area that, {f uh, } was just a few feet from a rather large lake, and a few more miles from that was a even larger lake  /']",c and  i grew up in an area that f uh  was just a few feet from a rather large lake and a few more miles from that was a even larger lake  ,sd,MALE,1
"['{c and } we had <noise> a variety of boats at our disposal <breathing>.  {f uh, }  /']",c and  we had noise a variety of boats at our disposal breathing  f uh   ,sd,MALE,1
['i worked for a camp for a number of years.  /'],i worked for a camp for a number of years  ,sd,MALE,1
"['my father was on staff there,  /']",my father was on staff there  ,sd,MALE,1
"['{c and } we had every kind of things from canoes to paddle boats, sailboats, speedboats,  /']",c and  we had every kind of things from canoes to paddle boats sailboats speedboats  ,sd,MALE,1
"['you name it,  they had it  /']",you name it  they had it  ,sd,MALE,1
"['{c and } we did a lot of [ watering, + <breathing>, water sports. ]  /']",c and  we did a lot of  watering  breathing water sports   ,sd,MALE,1
"['{c but } i think, {f uh, } <breathing> the thing i liked the best was, {f uh, } we spent about a summer <lipsmack> - /']",c but  i think f uh  breathing the thing i liked the best was f uh  we spent about a summer lipsmack  ,sd,MALE,1
"['couple of guys, {f uh, } restored an old wooden boat that was built back in the mid-thirties and got a new canvas sail for it and had a real [ h-, +  big ] old four- foot center board that went down in the middle to keep you upright when the waves,  /']",couple of guys f uh  restored an old wooden boat that was built back in the midthirties and got a new canvas sail for it and had a real  h   big  old four foot center board that went down in the middle to keep you upright when the waves  ,sd,MALE,1
['{c or } the wind came from the side  /'],c or  the wind came from the side  ,sd,MALE,1
['{c and } we got that thing in the water and had a real good time with it.  /'],c and  we got that thing in the water and had a real good time with it  ,sd,MALE,1
"['if you ever got it dumped over, though, it was a mess to get back up.  /']",if you ever got it dumped over though it was a mess to get back up  ,sd,MALE,1
"[""it wasn't like the newer ones that have nice chambers that keep it afloat or keep it, {f uh, } upright again.  /""]",it wasnt like the newer ones that have nice chambers that keep it afloat or keep it f uh  upright again  ,sd,MALE,1
['this one you had to work with.  /'],this one you had to work with  ,sd,MALE,1
['you <laughter> get out of the water again and get it upright.  /'],you laughter get out of the water again and get it upright  ,sd,MALE,1
"['{c and, }  {f uh, } sailing [ was, +  was ]  kind of nice to learn the maneuvers you had to make to work your way down a lake or work back up against [ the, +  the ] wind, as it were, tacking back and forth  /']",c and   f uh  sailing  was   was   kind of nice to learn the maneuvers you had to make to work your way down a lake or work back up against  the   the  wind as it were tacking back and forth  ,sd,MALE,1
"[""{c and, } {f uh, } more than once we'd get out there on a really stormy day  /""]",c and  f uh  more than once wed get out there on a really stormy day  ,sd,MALE,1
"['{c and, } {f uh, } the storm or the wind was due to the front blowing  /']",c and  f uh  the storm or the wind was due to the front blowing  ,sd,MALE,1
"[""{c and } you paddle your way back in and hope it doesn't start raining on you right away.  /""]",c and  you paddle your way back in and hope it doesnt start raining on you right away  ,sd,MALE,1
"[""{c and } that didn't always work.  /""]",c and  that didnt always work  ,sd,MALE,1
"['we oftentimes got wet, <breathing>.  /']",we oftentimes got wet breathing  ,sd,MALE,1
"[""{c but, }  {f uh, } [ it's, +  it's ] a [ nice, +  nice ] hobby to have.  /""]",c but   f uh   its   its  a  nice   nice  hobby to have  ,sd,MALE,1
"[""nowadays i don't think i could afford the boat or the time, nor do we live that close to a lake anymore,  /""]",nowadays i dont think i could afford the boat or the time nor do we live that close to a lake anymore  ,sd,MALE,1
"['{d so } things change, i guess.  /']",d so  things change i guess  ,sv,MALE,3
"['what are your memories of boating,  /']",what are your memories of boating  ,qw,MALE,12
"['{c or } current, -/']",c or  current ,qrr,MALE,33
"['{f uh, } about the only memories that i have of boating, {f uh, } - /']",f uh  about the only memories that i have of boating f uh   ,sd,FEMALE,1
"[""my husband's family had [ a, + a ] motor boat, {f uh, }  when we got engaged  /""]",my husbands family had  a  a  motor boat f uh   when we got engaged  ,sd,FEMALE,1
['{c and } they took us out on the lake several times.   /'],c and  they took us out on the lake several times   ,sd,FEMALE,1
"['{c and, }  {f uh, } i really did enjoy that.  /']",c and   f uh  i really did enjoy that  ,sd,FEMALE,1
"[""[ i, +  i ] don't know that i ever learned to drive it or  anything,  /""]", i   i  dont know that i ever learned to drive it or  anything  ,sd,FEMALE,1
"['{c but, }  {f uh, } we did some water skiing, of course,  [ and, +  and, ]  {f uh, } driving around the lake in the boat [ and, +  and ] just the basic safety rules and things i found real interesting.  {f uh, } {d you know, }  /']",c but   f uh  we did some water skiing of course   and   and   f uh  driving around the lake in the boat  and   and  just the basic safety rules and things i found real interesting  f uh  d you know   ,sd,FEMALE,1
"[""[ they, +  they ]  just didn't patrol you like they did with the automobile or whatever.  /""]", they   they   just didnt patrol you like they did with the automobile or whatever  ,sd,FEMALE,1
"['[ the, +  the ] laws were there  /']", the   the  laws were there  ,sd,FEMALE,1
"[""{c and } if you didn't obey them, {f uh } --""]",c and  if you didnt obey them f uh  ,sd,FEMALE,1
['right. /'],right ,b,MALE,2
"['-- {d you know, } <laughter> there were a lot of accidents,  i   guess. /']", d you know  laughter there were a lot of accidents  i   guess ,+,FEMALE,0
"[""that's true. /""]",thats true ,aa,MALE,4
"['{c but, }  {f uh, } i found the motor boating was real fun. /']",c but   f uh  i found the motor boating was real fun ,sd,FEMALE,1
"['yeah,  /']",yeah  ,b,MALE,2
"['i remember learning how to ski, {f oh, }  /']",i remember learning how to ski f oh   ,sd,MALE,1
['i guess i was seven or eight years old  /'],i guess i was seven or eight years old  ,sd,MALE,1
['{c and } the lake that we learned on was the smaller of the two that we had access to  /'],c and  the lake that we learned on was the smaller of the two that we had access to  ,sd,MALE,1
"['{c and } it was maybe fifteen, twenty acres  /']",c and  it was maybe fifteen twenty acres  ,sd,MALE,1
"['{c and } [ it was, +  {f uh } <breathing>, it had ]  a lot of, {f uh, } turtles in it.  /']",c and   it was   f uh  breathing it had   a lot of f uh  turtles in it  ,sd,MALE,1
['{c and } i got all ready to go  /'],c and  i got all ready to go  ,sd,MALE,1
"['{c and } i was down in the water [ and, +   and ] set to go  /']",c and  i was down in the water  and    and  set to go  ,sd,MALE,1
"['[ {c and, } +   {f uh, } {c and } ]  just as that boat took off, a turtle bit me in the middle of the back. /']", c and     f uh  c and    just as that boat took off a turtle bit me in the middle of the back ,sd,MALE,1
['oh <breathing>. /'],oh breathing ,b,FEMALE,2
"[""it didn't hurt too much,  /""]",it didnt hurt too much  ,sd,MALE,1
['{c but } it bit enough to where i let go.  /'],c but  it bit enough to where i let go  ,sd,MALE,1
['{c and } the boat went off without me  /'],c and  the boat went off without me  ,sd,MALE,1
"['{c and } i reached back there  and [ s-, + ] pushed him away and got out of the water [ a, +  a ] while  /']",c and  i reached back there  and  s   pushed him away and got out of the water  a   a  while  ,sd,MALE,1
"[""[ {c and, } +  {c and, } ]  {f uh, } it didn't even leave a mark.  /""]", c and    c and    f uh  it didnt even leave a mark  ,sd,MALE,1
['it was just a little nibble  /'],it was just a little nibble  ,sd,MALE,1
['{c and so } i told everybody what happened  /'],c and so  i told everybody what happened  ,sd,MALE,1
"['{c and } they go, {f oh, }  yeah,  sure, {d you know. } /']",c and  they go f oh   yeah  sure d you know  ,sd,MALE,1
['<laughter>.'],laughter,x,FEMALE,8
['{c and so } i get back down in there  /'],c and so  i get back down in there  ,sd,MALE,1
"[""[ {c and, } +  {c and } ]  i'll be if he didn't do it again.  /""]", c and    c and    ill be if he didnt do it again  ,sd,MALE,1
"['this time a little earlier [ [ and, +  and ] + ] i had let go before then and, before they took off this time [ and, + and ] swatted him away.  /']",this time a little earlier   and   and    i had let go before then and before they took off this time  and  and  swatted him away  ,sd,MALE,1
"['{c so } i moved over [ a, +  a ]  few feet in the water and got out of his little realm where he was living underneath the dock and,  {f uh, } managed to get up.  /']",c so  i moved over  a   a   few feet in the water and got out of his little realm where he was living underneath the dock and  f uh  managed to get up  ,sd,MALE,1
"[""didn't go very  far,  /""]",didnt go very  far  ,sd,MALE,1
['{c but } i got up.  /'],c but  i got up  ,sd,MALE,1
"['{c and } [ it, +  it ] was a [ nice, + {f uh, } nice ] long skiing career,  /']",c and   it   it  was a  nice  f uh  nice  long skiing career  ,sd,MALE,1
"[""{c but } now i've gotten to where skiing is just kind of wears me out more than it does thrill me. /""]",c but  now ive gotten to where skiing is just kind of wears me out more than it does thrill me ,sd,MALE,1
"[""[ i've, +  i've, ] {f uh, } done about all i dare do on skis.  {d you know, } skiing on one and jumping around here and there  /""]", ive   ive  f uh  done about all i dare do on skis  d you know  skiing on one and jumping around here and there  ,sd,MALE,1
"['{c and }  [ [ i, +  i, ] +  i ] know how you can get injured doing much more than that  /']",c and     i   i    i  know how you can get injured doing much more than that  ,sd,MALE,1
"[""{c and } i just can't risk it right now being a head of the family and the breadwinner and all that. /""]",c and  i just cant risk it right now being a head of the family and the breadwinner and all that ,sd,MALE,1
"[""just, {f uh, } can't take the risk i did as a dumb teenager, i guess <breathing>.   /""]",just f uh  cant take the risk i did as a dumb teenager i guess breathing   ,sd,MALE,1
['{d so } life just changes a little bit in that respect <breathing>.  /'],d so  life just changes a little bit in that respect breathing  ,sd,MALE,1
"[""i'd kind of like, someday, to maybe end up on a pair of skis [ that, +  that ] doesn't have a, {f uh, }  {d well, } - /""]",id kind of like someday to maybe end up on a pair of skis  that   that  doesnt have a f uh   d well   ,sd,MALE,1
['what they call trick skis. - /'],what they call trick skis  ,sd,MALE,1
"[""they'll allow you to ski backwards.  /""]",theyll allow you to ski backwards  ,sd,MALE,1
"[""i haven't [ cr-, +  managed ] to get a hold on that, {f uh, } craft yet,  /""]",i havent  cr   managed  to get a hold on that f uh  craft yet  ,sd,MALE,1
"['{c but, } {f uh, } -/']",c but  f uh  ,%,MALE,5
['that sounds like a real challenge. /'],that sounds like a real challenge ,sv,FEMALE,3
"['yeah,  /']",yeah  ,aa,MALE,4
"['[ it, +  it ] would be kind of nice.  /']", it   it  would be kind of nice  ,sd,MALE,1
"[""i hadn't quite figured out,  /""]",i hadnt quite figured out  ,sd,MALE,1
"[""i don't have anybody to teach me either.  /""]",i dont have anybody to teach me either  ,sd,MALE,1
"[""that's another little thing.  /""]",thats another little thing  ,sd,MALE,1
"['you need somebody to kind of tell you what to do,  /']",you need somebody to kind of tell you what to do  ,sd,MALE,1
"[""{c but, }  just from what i've seen, you just kind of work your way up to it and turn around real quick <breathing>, {d you know. }  grab the rope behind you and then just let go real quick and let it whip you around. /""]",c but   just from what ive seen you just kind of work your way up to it and turn around real quick breathing d you know   grab the rope behind you and then just let go real quick and let it whip you around ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"[""{c but, }  {f uh, } i don't know,  /""]",c but   f uh  i dont know  ,h,MALE,15
"[""maybe someday  [ i'll +  <lipsmack>, i'll ] get back to that [ as, +  after ] the kids are up and grown and the monies are there to get away for times on end, weekend or something. /""]",maybe someday   ill   lipsmack ill  get back to that  as   after  the kids are up and grown and the monies are there to get away for times on end weekend or something ,sd,MALE,1
"['{d well, } my son, -/']",d well  my son ,sd,FEMALE,1
