utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"['jay, {f um, }  /']",jay f um   ,"fo_o_fw_""_by_bc",MALE,0
"['my kids [ are, +  are ]  both in college, {f um, }  /']",my kids  are   are   both in college f um   ,sd,MALE,1
"[""{c and } [ i'd, +  i played ] a fairly active part in helping them decide where to go.  /""]",c and   id   i played  a fairly active part in helping them decide where to go  ,sd,MALE,1
"['on the other hand, they really decided themselves. /']",on the other hand they really decided themselves ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
"['{f um, } [ what, +  what ] kind of experience did you have? /']",f um   what   what  kind of experience did you have ,qo,MALE,25
"['{d well, } i, {f uh, } <breathing> - /']",d well  i f uh  breathing  ,%,MALE,5
"['one girl went [ in, +  in ] state and has graduated,  /']",one girl went  in   in  state and has graduated  ,sd,MALE,1
"['{c and then, } {f uh, } [ that was, +   {f uh, } {d you know, } that was ] her choice pretty much where she wanted to go -- /']",c and then  f uh   that was    f uh  d you know  that was  her choice pretty much where she wanted to go  ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
"['-- {c and } i have, {f uh, } [ one, out of, +   two out of ] state, both in missouri,  /']", c and  i have f uh   one out of    two out of  state both in missouri  ,sd,MALE,1
"['{c and, } {f um, } i teach, {f uh, }  in a college,  /']",c and  f um  i teach f uh   in a college  ,sd,MALE,1
"[""{c and so } [ i +  they ] had heard me talk about it, and for years, that i didn't think it really made too much difference where they went for their undergraduate.  /""]",c and so   i   they  had heard me talk about it and for years that i didnt think it really made too much difference where they went for their undergraduate  ,sd,MALE,1
"['{f uh, } so, that was --']",f uh  so that was ,%,MALE,5
['{f um. } /'],f um  ,%,MALE,5
"['-- pretty much, {f uh. } -/']", pretty much f uh  ,+,MALE,0
"['i see,  /']",i see  ,b,MALE,2
"[""{d well, } [ i, +  [ may, +   maybe ] i'm ] wrong,  /""]",d well   i    may    maybe  im  wrong  ,h,MALE,15
"['{c but } i think it makes a big difference in terms of finding a school that is sort of right for the child in terms of his or her happiness [ [ and, +']",c but  i think it makes a big difference in terms of finding a school that is sort of right for the child in terms of his or her happiness   and ,sv,MALE,3
"[""{f oh, } {f oh, } [ if they, +  if they're ] content there, /""]",f oh  f oh   if they   if theyre  content there ,^2,MALE,23
"['and, ] + and ] the appropriate support environment and things like that. /']",and   and  the appropriate support environment and things like that ,+,MALE,0
"[""{e i mean } as far as the education, as far as looking at the degree at the end, [ [ that, +  {f uh, } it's ] +   very little difference is ] paid --""]",e i mean  as far as the education as far as looking at the degree at the end   that   f uh  its     very little difference is  paid ,sv,MALE,3
['uh-huh. /'],uhhuh ,b,MALE,2
"[""-- to it, where you get that bachelor's.  /""]", to it where you get that bachelors  ,+,MALE,0
"[""{f uh, } if it's a halfway decent school --""]",f uh  if its a halfway decent school ,sv,MALE,3
['uh-huh. /'],uhhuh ,b,MALE,2
"['-- they should be happy naturally,  /']", they should be happy naturally  ,+,MALE,0
"['{c and } if they can get, {f uh, } {f um, } two out of, - /']",c and  if they can get f uh  f um  two out of  ,sd,MALE,1
