utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"[""{c and } i have to admit that we just moved  to plano recently and that i hadn't voted in an election yet,  /""]",c and  i have to admit that we just moved  to plano recently and that i hadnt voted in an election yet  ,sd,FEMALE,1
"['{c and } although i did go down and  register and i, - /']",c and  although i did go down and  register and i  ,sd,FEMALE,1
"[""that's the first time i've ever done that.  /""]",thats the first time ive ever done that  ,sd,FEMALE,1
"[""[ has, + what's ]  been your voting experience? /""]", has  whats   been your voting experience ,qo,FEMALE,25
['my voting experience? /'],my voting experience ,br,FEMALE,30
"['<laughter> {d well, } do you feel like, {f uh, } - /']",laughter d well  do you feel like f uh   ,qy,FEMALE,7
"['{e i mean, }  i, -/']",e i mean   i ,%,FEMALE,5
"[""[ [ i, + i, ] {d well, } + personally i've ]  been very diligent --""]",  i  i  d well   personally ive   been very diligent ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
['-- until recent years.'], until recent years,+,FEMALE,0
['uh-huh. /'],uhhuh ,b,FEMALE,2
['when i felt my vote was absolutely kind of washed down the drain. /'],when i felt my vote was absolutely kind of washed down the drain ,+,FEMALE,0
['yes. /'],yes ,b,FEMALE,2
"['for the issues  [ that, + {d you know, } <child_yelling> that ] i felt really strong for, {f uh, } i think apathy has set in to a lot of # people # --']",for the issues   that  d you know  childyelling that  i felt really strong for f uh  i think apathy has set in to a lot of  people  ,sd,FEMALE,1
['# uh-huh. # /'], uhhuh  ,b,FEMALE,2
['-- because of <child_yelling> the way  our politicians are and the way our country is being run. /'], because of childyelling the way  our politicians are and the way our country is being run ,+,FEMALE,0
"[""that's really true.  /""]",thats really true  ,aa,FEMALE,4
"[""that's kind of the way i have felt.  /""]",thats kind of the way i have felt  ,sv,FEMALE,3
"['[ i, + i ] also feel guilty, {f uh, } not knowing and not going the extra mile  myself and studying out the issues and studying out the candidates.  /']", i  i  also feel guilty f uh  not knowing and not going the extra mile  myself and studying out the issues and studying out the candidates  ,sd,FEMALE,1
"['course,  we only have mostly the representation given in the media,  /']",course  we only have mostly the representation given in the media  ,sv,FEMALE,3
"[""{c but, } {f uh, }  i have felt since i've been here that i haven't known what the issues were   [ and that  i, + ]  because it was a new community. /""]",c but  f uh   i have felt since ive been here that i havent known what the issues were    and that  i    because it was a new community ,sd,FEMALE,1
"['you really do have to study to get  yourself, {f uh, } up to par with what is truly going on -- /']",you really do have to study to get  yourself f uh  up to par with what is truly going on  ,sv,FEMALE,3
