utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
['okay. /'],okay ,"fo_o_fw_""_by_bc",FEMALE,0
['all right. /'],all right ,b,MALE,2
"['{f um, } we have small children, two and four -- /']",f um  we have small children two and four  ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
"['-- {c and so } [ we, + our ] dining is very limited <laughter>. /']", c and so   we  our  dining is very limited laughter ,sd,FEMALE,1
"[""i bet you're mcdonald's fan. /""]",i bet youre mcdonalds fan ,qy^d,MALE,16
"[""{f oh, } we're past that now.  /""]",f oh  were past that now  ,arp_nd,FEMALE,34
"[""we're a little sick of that <laughter>. /""]",were a little sick of that laughter ,arp_nd,FEMALE,34
['are you?  /'],are you  ,bh,MALE,18
"['gosh, where do you go, whataburger? /']",gosh where do you go whataburger ,qy,MALE,7
"['<throat_clearing> no,  /']",throatclearing no  ,nn,FEMALE,13
"[""{f um, } we're more - /""]",f um  were more  ,%,FEMALE,5
"[""{d like, } {f um, } {d you know, } {d like } wyatt's cafeteria. /""]",d like  f um  d you know  d like  wyatts cafeteria ,sd,FEMALE,1
['{f oh } is that right? /'],f oh  is that right ,bh,MALE,18
"['yeah,  /']",yeah  ,ny,FEMALE,9
['that way.  /'],that way  ,sd,FEMALE,1
"[""{c and } the kids just love everything that's there,  /""]",c and  the kids just love everything thats there  ,sd,FEMALE,1
"[""{c so } we're pretty fortunate.  /""]",c so  were pretty fortunate  ,sd,FEMALE,1
"['kind of, {f um, } buffet style, # {f uh, }  /']",kind of f um  buffet style  f uh   ,sd,FEMALE,1
['{c so } you can # --'],c so  you can  ,sd,FEMALE,1
"['# yeah,  /']", yeah  ,b,MALE,2
"[""[ that's, + that's ] good. # /""]", thats  thats  good  ,ba,MALE,6
['-- go in and go out  /'], go in and go out  ,+,FEMALE,0
"[""{c and } the food's already served  /""]",c and  the foods already served  ,sd,FEMALE,1
"[""{c and } you don't have to wait,  /""]",c and  you dont have to wait  ,sd,FEMALE,1
"[""{c and } it's already in front of them when you sit down,  /""]",c and  its already in front of them when you sit down  ,sd,FEMALE,1
"['and things like,  {f um, } souper salads, {d you know, }  /']",and things like  f um  souper salads d you know   ,sd,FEMALE,1
"[""[ it's, + {d again } it's ] buffet,  /""]", its  d again  its  buffet  ,sd,FEMALE,1
"[""{c and } it's already prepared  /""]",c and  its already prepared  ,sd,FEMALE,1
"[""and [ just things, + [ any, + any ] eating area ] that you just don't have to wait an extreme amount of time. /""]",and  just things   any  any  eating area  that you just dont have to wait an extreme amount of time ,sd,FEMALE,1
['i can understand that. /'],i can understand that ,ba,MALE,6
"['<laughter> we, -/']",laughter we ,%,FEMALE,5
"['[ we got, + we got ] three kids, too,  /']", we got  we got  three kids too  ,sd,MALE,1
"[""{c and } when the kids are small, if you going to wait, you don't go out. /""]",c and  when the kids are small if you going to wait you dont go out ,sv,MALE,3
['no <laughter>. /'],no laughter ,aa,FEMALE,4
"[""they won't put up with that. /""]",they wont put up with that ,sv,MALE,3
"[""we tried a bennigan's one time,  /""]",we tried a bennigans one time  ,sd,FEMALE,1
['{c and } it was terrible.  /'],c and  it was terrible  ,sd,FEMALE,1
['course it was just probably one of the worst days to go anyway.  /'],course it was just probably one of the worst days to go anyway  ,sd,FEMALE,1
"['[ we, + we ] waited almost <breathing> forty-five minutes before everything was brought out,  /']", we  we  waited almost breathing fortyfive minutes before everything was brought out  ,sd,FEMALE,1
"['{c and } [ it was, + # we were ] ready # --']",c and   it was   we were  ready  ,sd,FEMALE,1
['# [ {c and } you had. + #'],  c and  you had  ,qy,MALE,7
['-- to go home. /'], to go home ,+,FEMALE,0
