utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"['okay, {f um, }  /']",okay f um   ,"fo_o_fw_""_by_bc",MALE,0
"['{d now } the term personal computer, {f uh, } - /']",d now  the term personal computer f uh   ,%,MALE,5
"[""i don't happen to have one at home.  {f um, }  /""]",i dont happen to have one at home  f um   ,sd,MALE,1
['{c but } i do have a personal computer on my desk here. /'],c but  i do have a personal computer on my desk here ,sd,MALE,1
['a type of work station? /'],a type of work station ,qy,MALE,7
"['yeah,  /']",yeah  ,ny,MALE,9
"['{f uh, } yeah,  /']",f uh  yeah  ,ny,MALE,9
"[""[ just kind of, + it's kind of ] a  (( kluge ))  that was pieced together [ to, + to, ] {f uh, } shall we say bypass the formal procurement process.  /""]", just kind of  its kind of  a   kluge   that was pieced together  to  to  f uh  shall we say bypass the formal procurement process  ,sd,MALE,1
"['{c and, } {f uh, } [ it, + it ] works just fine.  /']",c and  f uh   it  it  works just fine  ,sd,MALE,1
"[""it says it's a monochrome monitor, panasonic printer, {f uh, } no big deal,  /""]",it says its a monochrome monitor panasonic printer f uh  no big deal  ,sd,MALE,1
"['[ it, + it ] does the things i need for it to do. /']", it  it  does the things i need for it to do ,sd,MALE,1
['is it a two eighty-six or three eighty-six base machine? /'],is it a two eightysix or three eightysix base machine ,qy,MALE,7
"['no,  /']",no  ,nn,MALE,13
"[""it's not even that. /""]",its not even that ,sd,MALE,1
"[""it's eighty eighty-eight? /""]",its eighty eightyeight ,qy,MALE,7
"[""{f uh, } i think that's about where it is. /""]",f uh  i think thats about where it is ,na,MALE,21
['okay.  /'],okay  ,bk,MALE,14
"['{f uh } <<pause>>, what type of, {f uh, } utilizations do you make of it?  /']",f uh  pause what type of f uh  utilizations do you make of it  ,qw,MALE,12
['word processing obviously. /'],word processing obviously ,sd,MALE,1
"['{f uh, } yeah,  /']",f uh  yeah  ,aa,MALE,4
"['i do that,  /']",i do that  ,sd,MALE,1
"['[ i, + i ] do, {f uh, } some lotus on it.  {f uh, }  do some, {f uh, } samna, some, {f uh, } p f m, {f uh, } nothing extremely complex. /']", i  i  do f uh  some lotus on it  f uh   do some f uh  samna some f uh  p f m f uh  nothing extremely complex ,sd,MALE,1
['okay.  /'],okay  ,b,MALE,2
"['{f uh, }  i use them both here at work and at home. /']",f uh   i use them both here at work and at home ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
['{c and } i have i b m clones in both cases. /'],c and  i have i b m clones in both cases ,sd,MALE,1
['yep. /'],yep ,b,MALE,2
"['here at work i have the t i one thousand which is a three eighty-six base [ mach-, + machine. ] /']",here at work i have the t i one thousand which is a three eightysix base  mach  machine  ,sd,MALE,1
"['{f oh, } yeah.  /']",f oh  yeah  ,b,MALE,2
"[""i bet that's a pretty nice setup. /""]",i bet thats a pretty nice setup ,ba,MALE,6
"['yes,  /']",yes  ,aa,MALE,4
['it is.  /'],it is  ,sd,MALE,1
"['{f uh, } unfortunately i need all of it. /']",f uh  unfortunately i need all of it ,sd,MALE,1
['yep. /'],yep ,b,MALE,2
"[""{f uh, } for example, i was messing around with a spreadsheet this weekend that's a third of a meg in beta size. /""]",f uh  for example i was messing around with a spreadsheet this weekend thats a third of a meg in beta size ,sd,MALE,1
['wow. /'],wow ,ba,MALE,6
"['{c and } [ that, + i know that, ] {f uh, } brings an eighty eighty-eight machine to its knees because <laughter>, i had taken it over from a friend who was working on it  /']",c and   that  i know that  f uh  brings an eighty eightyeight machine to its knees because laughter i had taken it over from a friend who was working on it  ,sd,MALE,1
"['{c and } he had a two eighty-six machine, /']",c and  he had a two eightysix machine ,sd,MALE,1
['yep. /'],yep ,b,MALE,2
['{c and } it brought it to its knees.'],c and  it brought it to its knees,sd,MALE,1
['wow. /'],wow ,ba,MALE,6
['just in the ability to handle. - /'],just in the ability to handle  ,+,MALE,0
"['{c and then } i have, {f uh, } a three eighty-six f x a sixteen bit machine,']",c and then  i have f uh  a three eightysix f x a sixteen bit machine,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
['at home.  /'],at home  ,+,MALE,0
"[""{c and } i'm really pleased with it. /""]",c and  im really pleased with it ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
"['it manages to take care of all my home needs in terms of word processing and spreadsheets and,']",it manages to take care of all my home needs in terms of word processing and spreadsheets and,sd,MALE,1
