utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"['[ {d well, } + {d well, } ] pat, did you vote in the last election? /']", d well   d well   pat did you vote in the last election ,qy,MALE,7
['most assuredly. /'],most assuredly ,na,FEMALE,21
"['{f oh, } you did? /']",f oh  you did ,bh,MALE,18
"[""yes ma'am.  /""]",yes maam  ,ny,FEMALE,9
"[""i've voted in every major election since i turned twenty-one. /""]",ive voted in every major election since i turned twentyone ,sd,FEMALE,1
"[""{f oh, } that's great.  /""]",f oh  thats great  ,ba,MALE,6
"['{d well, } why do you think,']",d well  why do you think,qo,MALE,25
"[""# don't always # --""]", dont always  ,sd,FEMALE,1
"[""# people don't. # /""]", people dont  ,+,MALE,0
['-- vote for somebody.  /'], vote for somebody  ,+,FEMALE,0
['i sometimes vote against somebody <laughter>. /'],i sometimes vote against somebody laughter ,sd,FEMALE,1
['that makes sense too. /'],that makes sense too ,ba,MALE,6
"['<laughter> i think that a lot of it is, {f uh, } - /']",laughter i think that a lot of it is f uh   ,%,FEMALE,5
['i know that my late husband was simply indifferent.  /'],i know that my late husband was simply indifferent  ,sd,FEMALE,1
"[""he didn't feel like he had any say.  /""]",he didnt feel like he had any say  ,sd,FEMALE,1
"['there was too many people, too many <talking> other votes.  /']",there was too many people too many talking other votes  ,sd,FEMALE,1
"[""for example, {d you know, } he'd say, {d well, } look, you and i see different sides of the fence.  /""]",for example d you know  hed say d well  look you and i see different sides of the fence  ,sd,FEMALE,1
"[""if i go vote you'll cancel my vote. /""]",if i go vote youll cancel my vote ,^q,FEMALE,19
['<laughter>.'],laughter,x,MALE,8
"['i said, i sure will. /']",i said i sure will ,sd,FEMALE,1
"['{c and, } -/']",c and  ,%,MALE,5
"[""he said, {c so, } i just won't vote.  /""]",he said c so  i just wont vote  ,sd,FEMALE,1
"['i said, then mine counts,']",i said then mine counts,sd,FEMALE,1
"['then does, -/']",then does ,%,MALE,5
['because you could cancel mine too. /'],because you could cancel mine too ,+,FEMALE,0
"['<laughter> yeah,  /']",laughter yeah  ,b,MALE,2
"[""[ i think, + i think, ] that's a lot of people,  /""]", i think  i think  thats a lot of people  ,sv,MALE,3
['just indifferent <noise>.  /'],just indifferent noise  ,sv,MALE,3
['i know that --'],i know that ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"[""-- i've moved around a lot.  /""]", ive moved around a lot  ,+,MALE,0
"[""in the past, {f um, } three years i've had three different addresses. /""]",in the past f um  three years ive had three different addresses ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
['each time i change jurisdictions or whatever. /'],each time i change jurisdictions or whatever ,sd,MALE,1
['sure. /'],sure ,b,FEMALE,2
"[""{c so } i just haven't, - /""]",c so  i just havent  ,%,MALE,5
