utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"[""i guess we are just to discuss trials [ and, + and ]  punishment. if it's to be given by the judge or not.  /""]",i guess we are just to discuss trials  and  and   punishment if its to be given by the judge or not  ,sd,FEMALE,1
"['[ did you, + did you ] catch your explanation of that? /']", did you  did you  catch your explanation of that ,qy,FEMALE,7
"['<noise> <static> yes,  /']",noise static yes  ,ny,MALE,9
['i did.  /'],i did  ,sd,MALE,1
"[""[ it's, + # it's, ] {f uh, } # -/""]", its   its  f uh   ,%,MALE,5
['# okay. # /'], okay  ,b,FEMALE,2
"['the, {f uh, } - /']",the f uh   ,%,MALE,5
"[""maybe i'm a hard liner  /""]",maybe im a hard liner  ,sd,MALE,1
"['{c but } i think  that there should be some preset penalties in criminal cases.   rather than, {f uh, } degrees of # sentencing. # /']",c but  i think  that there should be some preset penalties in criminal cases   rather than f uh  degrees of  sentencing  ,sv,MALE,3
['# you mean the crimes # or the punishment should fit the crime? /'], you mean the crimes  or the punishment should fit the crime ,qy,FEMALE,7
['right.  /'],right  ,na,MALE,21
['# right. # /'], right  ,na,MALE,21
['# okay # <lipsmack>. /'], okay  lipsmack ,bk,FEMALE,14
"['{f uh, } again, having participated in jury duty  myself, # [ i know + <laughter>, #']",f uh  again having participated in jury duty  myself   i know  laughter ,sd,MALE,1
"['# yes,  /']", yes  ,aa,FEMALE,4
['i did also. # /'],i did also  ,sd,FEMALE,1
"['i know ] how such a diverse group of people  get together, the different backgrounds, different ideas, # that # --']",i know  how such a diverse group of people  get together the different backgrounds different ideas  that  ,+,MALE,0
['# right. # /'], right  ,b,FEMALE,2
"['-- sometimes you can have one person or two,']", sometimes you can have one person or two,+,MALE,0
['<noise> <<like a telephone buzzer>>.'],noise like a telephone buzzer,x,FEMALE,8
"['that can hold up what i consider the proper sentencing,']",that can hold up what i consider the proper sentencing,+,MALE,0
['</noise>.'],noise,x,FEMALE,8
"['of the [ p-, +  person. ] /']",of the  p   person  ,+,MALE,0
['could you hang on one minute jim? /'],could you hang on one minute jim ,ad,FEMALE,22
"[""yes ma'am. /""]",yes maam ,aa,MALE,4
['thank you <<long pause>>. /'],thank you long pause ,ft,FEMALE,43
['<noise> <swallowing> <cough>.'],noise swallowing cough,x,MALE,8
['i am so sorry to keep you on hold. /'],i am so sorry to keep you on hold ,fa,FEMALE,42
['<laughter> no problem. /'],laughter no problem ,bd,MALE,38
['are you at work? /'],are you at work ,qy,FEMALE,7
['yes. /'],yes ,ny,MALE,9
"['okay,  /']",okay  ,bk,FEMALE,14
"['i am too.  <laughter> # {f um, } # /']",i am too  laughter  f um   ,sd,FEMALE,1
['# yeah.  /'], yeah  ,b,MALE,2
"['{f um, } # i think what you have  is, the way [ the, + the ] justice system works is they bend over backwards trying to protect the guilty. /']",f um   i think what you have  is the way  the  the  justice system works is they bend over backwards trying to protect the guilty ,sv,MALE,3
"[""# {f oh, } it's insane. # /""]", f oh  its insane  ,sv,FEMALE,3
"['# so many things in their back, #  /']", so many things in their back   ,sv,MALE,3
['pardon? /'],pardon ,br,MALE,30
"[""it's insane. /""]",its insane ,sv,FEMALE,3
['yes.  /'],yes  ,aa,MALE,4
"['i know, /']",i know ,sd,MALE,1
['<noise> <<guttural sounds>>.'],noise guttural sounds,x,FEMALE,8
['my wife participated in a jury trial <lipsmack>  several years back --'],my wife participated in a jury trial lipsmack  several years back ,sd,MALE,1
['yes. /'],yes ,b,FEMALE,2
"['-- wherein the individual after it was over and they,']", wherein the individual after it was over and they,+,MALE,0
['<talking>.'],talking,x,FEMALE,8
['had came up with the maximum sentence --'],had came up with the maximum sentence ,+,MALE,0
['yes. /'],yes ,b,FEMALE,2
"['-- in the jury form they found out that, {f uh, }  the gentleman involved had a long history of the same type offense --']", in the jury form they found out that f uh   the gentleman involved had a long history of the same type offense ,+,MALE,0
['right. /'],right ,b,FEMALE,2
