utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"['okay,  /']",okay  ,"fo_o_fw_""_by_bc",FEMALE,0
['do you want to start? /'],do you want to start ,qy,FEMALE,7
"['okay,  /']",okay  ,aa,FEMALE,4
"[""{f uh, } [ i haven't, + i don't ] know [ that much about the possi-, + what the possible choices ] could be about reorganizing the trial by jury,  /""]",f uh   i havent  i dont  know  that much about the possi  what the possible choices  could be about reorganizing the trial by jury  ,sd,FEMALE,1
"['{c but, } {f uh, } i think it works better than many other systems, like having a judge decide. /']",c but  f uh  i think it works better than many other systems like having a judge decide ,sv,FEMALE,3
['uh-huh. /'],uhhuh ,b,FEMALE,2
"[""i can't think of many alternatives that could be more fair than having twelve people decide, although it's difficult because they all have to be [ new-, + unanimous. ] /""]",i cant think of many alternatives that could be more fair than having twelve people decide although its difficult because they all have to be  new  unanimous  ,sv,FEMALE,3
"['{d now } [ that, + ] [ do you, + do you ] agree, that they should all be unanimous? /']",d now   that    do you  do you  agree that they should all be unanimous ,qy,FEMALE,7
"[""<lipsmack> <breathing>.  i don't, -/""]",lipsmack breathing  i dont ,%,FEMALE,5
"['{c or } [ even, + even ] in, {f uh, } like they said, {d you know, } lesser, {d you know, } trials, {d you know, } lesser convictions, do you think that they should be all unanimous still? /']",c or   even  even  in f uh  like they said d you know  lesser d you know  trials d you know  lesser convictions do you think that they should be all unanimous still ,qrr,FEMALE,33
"[""i don't know,  /""]",i dont know  ,no,FEMALE,31
"[""[ i don't know if i feel, + i don't feel ] real strongly about that.  /""]", i dont know if i feel  i dont feel  real strongly about that  ,sd,FEMALE,1
"['if the, {f uh, } - /']",if the f uh   ,%,FEMALE,5
"[""the thing is, though, [ i, + i ] didn't think even if it was a lower conviction, [ i didn't think that you could, + {f uh, } i didn't think that you really had ] to have [ a, + a ] jury <laughter>. /""]",the thing is though  i  i  didnt think even if it was a lower conviction  i didnt think that you could  f uh  i didnt think that you really had  to have  a  a  jury laughter ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"['[ unless, + i guess, if ] you request one you can.  /']", unless  i guess if  you request one you can  ,sd,FEMALE,1
"['{c but } i think, - /']",c but  i think  ,%,FEMALE,5
"['yeah,  /']",yeah  ,%,FEMALE,5
"['making it unanimous sometimes [ might, {f uh, } let, + {a the only thing, } it might let ] more people get off.  /']",making it unanimous sometimes  might f uh  let  a the only thing  it might let  more people get off  ,sv,FEMALE,3
"[""i don't think it would convict any more people. /""]",i dont think it would convict any more people ,sv,FEMALE,3
['uh-huh. /'],uhhuh ,b,FEMALE,2
"['{c and } we have so many people already, {d you know, }  /']",c and  we have so many people already d you know   ,sv,FEMALE,3
['the jails are already overloaded. /'],the jails are already overloaded ,sv,FEMALE,3
"['{d well, } the thing is they stay until they all are unanimous.  /']",d well  the thing is they stay until they all are unanimous  ,sd,FEMALE,1
"[""{e i mean } if one is determined [ that it's, + {d you know, } that he feels that he's, ] {d you know, } going against the other eleven, they all stay until everyone agrees.  /""]",e i mean  if one is determined  that its  d you know  that he feels that hes  d you know  going against the other eleven they all stay until everyone agrees  ,sd,FEMALE,1
"[""{c so } i don't know if it would leave anyone getting off more unless someone just gets <noise> tired of fighting, {d you know, } just gives in. /""]",c so  i dont know if it would leave anyone getting off more unless someone just gets noise tired of fighting d you know  just gives in ,sv,FEMALE,3
['yeah.  /'],yeah  ,b,FEMALE,2
"[""{d well, } if it's, - /""]",d well  if its  ,%,FEMALE,5
"['no,  /']",no  ,ar,FEMALE,28
"['{c but } [ [ they, + they, ] + what if they ] never agree.  /']",c but    they  they   what if they  never agree  ,qw,FEMALE,12
"[""[ doesn't it just, + {f uh, } do they ] have to go back and do a whole new trial  /""]", doesnt it just  f uh  do they  have to go back and do a whole new trial  ,qy,FEMALE,7
"['{c or, } -/']",c or  ,%,FEMALE,5
