utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"['<clicking> {d well, } {f uh, } preferred benefits, {f uh, }  /']",clicking d well  f uh  preferred benefits f uh   ,"fo_o_fw_""_by_bc",FEMALE,0
['i worked for a large corporation in the past  /'],i worked for a large corporation in the past  ,sd,FEMALE,1
"[""{c and } i think large corporations can give better benefits than small corporations because, right now i'm working for a very small corporation where the owner is right there  /""]",c and  i think large corporations can give better benefits than small corporations because right now im working for a very small corporation where the owner is right there  ,sv,FEMALE,3
"[""{c and, } {f uh, } there is a lot of profit that's coming in  /""]",c and  f uh  there is a lot of profit thats coming in  ,sd,FEMALE,1
"['{c but } when it comes to, {f uh, } small corporations they seem to pocket it a little bit [ quick, + quickly, ] or whatever, or however you want to say it  /']",c but  when it comes to f uh  small corporations they seem to pocket it a little bit  quick  quickly  or whatever or however you want to say it  ,sv,FEMALE,3
"[""{c and, } {f uh, } the benefits aren't as great when i worked for a big corporation because the big corporations seem to look at its employees and say okay  /""]",c and  f uh  the benefits arent as great when i worked for a big corporation because the big corporations seem to look at its employees and say okay  ,sv,FEMALE,3
"[""we've got this amount of money,  /""]",weve got this amount of money  ,^q,FEMALE,19
"[""let's put into this plan, this plan,  /""]",lets put into this plan this plan  ,^q,FEMALE,19
['you got four oh one k plans.  /'],you got four oh one k plans  ,sv,FEMALE,3
"['you have, {f uh, } better vacation plans, {f uh, }  /']",you have f uh  better vacation plans f uh   ,sv,FEMALE,3
"['you have, just in general, maternity leave plans --']",you have just in general maternity leave plans ,sv,FEMALE,3
['<music> uh-huh. /'],music uhhuh ,b,FEMALE,2
"['-- [ tha-, + that ] kind of thing.  /']",  tha  that  kind of thing  ,+,FEMALE,0
"['big corporations are able to do that versus small corporations, {f uh, } {d you know, }  /']",big corporations are able to do that versus small corporations f uh  d you know   ,sv,FEMALE,3
"[""they just don't have the money or just feel that there isn't the need for it.  /""]",they just dont have the money or just feel that there isnt the need for it  ,sv,FEMALE,3
"[""{c so, } i've worked for both big and small  /""]",c so  ive worked for both big and small  ,sd,FEMALE,1
"[""{c so } i've had a chance to kind of take a look at, {f uh, } the pros and cons of both. /""]",c so  ive had a chance to kind of take a look at f uh  the pros and cons of both ,sd,FEMALE,1
['right.  /'],right  ,b,FEMALE,2
"[""[ {d well } i've worked for, + {f uh, } {d well } i worked for ] h and r block here in massachusetts --""]", d well  ive worked for  f uh  d well  i worked for  h and r block here in massachusetts ,sd,FEMALE,1
['sure. /'],sure ,b,FEMALE,2
['-- for awhile. /'], for awhile ,+,FEMALE,0
['uh-huh. /'],uhhuh ,b,FEMALE,2
"['{c and } the only, - /']",c and  the only  ,%,FEMALE,5
['they even hate to give out unemployment --'],they even hate to give out unemployment ,sd,FEMALE,1
['sure.  /'],sure  ,b,FEMALE,2
['uh-huh. /'],uhhuh ,b,FEMALE,2
['-- at the end of tax season because --'], at the end of tax season because ,+,FEMALE,0
['{f huh. } /'],f huh  ,b,FEMALE,2
"[""-- [ [ they, + {d you know, } they're ] + fairly, even though they're ] a large scale company, [ [ they're very, +""]",   they  d you know  theyre   fairly even though theyre  a large scale company   theyre very ,+,FEMALE,0
['<noise> sure. /'],noise sure ,b,FEMALE,2
"['the offices, ] + the individual offices are ] very small -- /']",the offices   the individual offices are  very small  ,+,FEMALE,0
['uh-huh. /'],uhhuh ,b,FEMALE,2
"[""-- {c and } now i work for the framingham <<mispronounced>> school [ tea-, + system ] because i'm a teacher. /""]", c and  now i work for the framingham mispronounced school  tea  system  because im a teacher ,sd,FEMALE,1
['uh-huh.  /'],uhhuh  ,b,FEMALE,2
['sure. /'],sure ,b,FEMALE,2
"['{c and, } {f uh, } we have much better benefits, {d you know, } in the system. /']",c and  f uh  we have much better benefits d you know  in the system ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
['we have a good pension plan.  /'],we have a good pension plan  ,sd,FEMALE,1
"['{f uh, } let me see, we have a profit sharing plan to a degree. /']",f uh  let me see we have a profit sharing plan to a degree ,sd,FEMALE,1
"[""that's pretty good for, {d you know, } being [ a, + a ] school district type program. /""]",thats pretty good for d you know  being  a  a  school district type program ,sv,FEMALE,3
['right.  /'],right  ,aa,FEMALE,4
"['{c and } we have the eye glasses, the health care --']",c and  we have the eye glasses the health care ,sd,FEMALE,1
['# uh-huh. # /'], uhhuh  ,b,FEMALE,2
['-- # and # the whole kit and caboodle because what --'],  and  the whole kit and caboodle because what ,+,FEMALE,0
['# wow. # /'], wow  ,ba,FEMALE,6
['-- # they # did is they threw all the town employees in together. /'],  they  did is they threw all the town employees in together ,+,FEMALE,0
"[""that's extremely good.  /""]",thats extremely good  ,ba,FEMALE,6
['# yeah.  /'], yeah  ,b,FEMALE,2
['((   )) . #'],     ,x,FEMALE,8
['really. /'],really ,b,FEMALE,2
"[""-- there's no type of, {f uh, } savings of any sort that the company will reimburse you for.  /""]", theres no type of f uh  savings of any sort that the company will reimburse you for  ,sd,FEMALE,1
"[""there's really, - /""]",theres really  ,%,FEMALE,5
"[""i think you're allowed [ so many times, + {f uh, } i think two or three days ] [ a w-, + a year. ]  /""]",i think youre allowed  so many times  f uh  i think two or three days   a w  a year   ,sd,FEMALE,1
"[""it's not accumulative, type of sick  leave --""]",its not accumulative type of sick  leave ,sd,FEMALE,1
['oh! /'],oh ,b,FEMALE,2
"['-- {f uh, } {d you know, } things like that.  /']", f uh  d you know  things like that  ,+,FEMALE,0
"[""{c so } i've been looking at big corporations and saying, the big corporation that i've worked for in the past had the pension plans, had the big [ health, + health ] care, {f uh, }  /""]",c so  ive been looking at big corporations and saying the big corporation that ive worked for in the past had the pension plans had the big  health  health  care f uh   ,sd,FEMALE,1
['you had your insurance  /'],you had your insurance  ,sv,FEMALE,3
"[""{c and } you didn't have to pay in as much as if you go to [ a, + a ] very small place.  /""]",c and  you didnt have to pay in as much as if you go to  a  a  very small place  ,sv,FEMALE,3
"[""{f uh, } they don't have as good as insurance packages as big corporations.  /""]",f uh  they dont have as good as insurance packages as big corporations  ,sv,FEMALE,3
"['{c and } <<very faint>>, -/']",c and  very faint ,%,FEMALE,5
['right.  /'],right  ,aa,FEMALE,4
"[""the only trouble we've had here in massachusetts is the town and  state employees --""]",the only trouble weve had here in massachusetts is the town and  state employees ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"['-- have run into problems, especially the retired ones.  /']", have run into problems especially the retired ones  ,+,FEMALE,0
"[""my father's retired from the town of framingham -- /""]",my fathers retired from the town of framingham  ,sd,FEMALE,1
['sure. /'],sure ,b,FEMALE,2
"[""-- {c and } he said that they haven't gotten [ a, + a ] cost of living raise --""]", c and  he said that they havent gotten  a  a  cost of living raise ,sd,FEMALE,1
['# no. # /'], no  ,b,FEMALE,2
['-- # in over # --'],  in over  ,+,FEMALE,0
['# yeah. # /'], yeah  ,b,FEMALE,2
['-- # five # years. /'],  five  years ,+,FEMALE,0
['yeah.  /'],yeah  ,b,FEMALE,2
['# yeah. # /'], yeah  ,b,FEMALE,2
"[""# {c and } # he said that's the only thing that really stinks as far as being retired  /""]", c and   he said thats the only thing that really stinks as far as being retired  ,sd,FEMALE,1
['# [ {c and } # -- +'],  c and    ,sd,FEMALE,1
['# uh-huh. # /'], uhhuh  ,b,FEMALE,2
['-- {c but } ] i hear that bill is in the senate right now  /'], c but   i hear that bill is in the senate right now  ,+,FEMALE,0
"[""{c and } # it's, hopefully # --""]",c and   its hopefully  ,sv,FEMALE,3
"['# sure,  /']", sure  ,aa,FEMALE,4
['sure. # /'],sure  ,aa,FEMALE,4
['-- will go through. /'], will go through ,+,FEMALE,0
"['yeah,  /']",yeah  ,aa,FEMALE,4
['yeah. /'],yeah ,aa,FEMALE,4
"[""{c but, } {f uh, } {d you know, } i think the schools are at, where the schools isn't just the school system --""]",c but  f uh  d you know  i think the schools are at where the schools isnt just the school system ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
['-- and not just the teachers.  /'], and not just the teachers  ,+,FEMALE,0
"['they took in the whole town plus all # {d you  know, } # -/']",they took in the whole town plus all  d you  know   ,sd,FEMALE,1
['# is it # a union? /'], is it  a union ,qy,FEMALE,7
"['{f uh, } we have the teachers union --']",f uh  we have the teachers union ,na,FEMALE,21
['uh-huh. /'],uhhuh ,b,FEMALE,2
"['-- which helps out a lot,  /']", which helps out a lot  ,+,FEMALE,0
['{c but } the town of framingham pays the benefits  /'],c but  the town of framingham pays the benefits  ,sd,FEMALE,1
['{c and } --'],c and  ,sd,FEMALE,1
"[""{f oh, } that's pretty good. /""]",f oh  thats pretty good ,ba,FEMALE,6
"[""-- that's all the town workers, water and sewer -- /""]", thats all the town workers water and sewer  ,+,FEMALE,0
['uh-huh. /'],uhhuh ,b,FEMALE,2
"[""-- {c and } where it's a very large town, - /""]", c and  where its a very large town  ,sd,FEMALE,1
"[""it's {d actually, } should be a city  /""]",its d actually  should be a city  ,sd,FEMALE,1
['{c but } they kept it a town. /'],c but  they kept it a town ,sd,FEMALE,1
['sure. /'],sure ,b,FEMALE,2
"[""{f uh, } where it's extremely large, they were able to offer a little bit more which # was # --""]",f uh  where its extremely large they were able to offer a little bit more which  was  ,sd,FEMALE,1
['# yeah. # /'], yeah  ,b,FEMALE,2
"[""-- really great because we don't have to pay a mayor # <laughter>. # /""]", really great because we dont have to pay a mayor  laughter  ,+,FEMALE,0
"['# uh-huh,  /']", uhhuh  ,b,FEMALE,2
['yeah.  /'],yeah  ,b,FEMALE,2
"['# yeah,  /']", yeah  ,b,FEMALE,2
['i know what you mean  /'],i know what you mean  ,ba,FEMALE,6
"[""{c and } that's true.  /""]",c and  thats true  ,aa,FEMALE,4
"['{e i mean, } [ [ yo-, + i-, ] + it ] does end up being quite a bit when you have to hire somebody for that position, sure.  /']",e i mean    yo  i   it  does end up being quite a bit when you have to hire somebody for that position sure  ,sv,FEMALE,3
['# yeah. # /'], yeah  ,%,FEMALE,5
"['# right,  /']", right  ,aa,FEMALE,4
"['# {c because } [ of + ] most of [ our, + {d you know, } the ] town employees, as far as, {f uh, } electoral positions, are part-time. /']", c because   of   most of  our  d you know  the  town employees as far as f uh  electoral positions are parttime ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
['{c so } it works out good <laughter> because # we # --'],c so  it works out good laughter because  we  ,sd,FEMALE,1
['# sure. # /'], sure  ,b,FEMALE,2
['-- reap the benefits of it -- /'], reap the benefits of it  ,+,FEMALE,0
['uh-huh. /'],uhhuh ,b,FEMALE,2
"[""-- [ {c and, } + {f uh, } {c but } ] as far as shopping for a job, i'd rather shop for the benefits than the salary. /""]",  c and   f uh  c but   as far as shopping for a job id rather shop for the benefits than the salary ,sd,FEMALE,1
"[""{d well, } that's it, {d you know, }  /""]",d well  thats it d you know   ,ba,FEMALE,6
"[""[ {c and, } + {c and } ] i've kind of looked around, {f uh, } at that, {f uh, } too.  /""]", c and   c and   ive kind of looked around f uh  at that f uh  too  ,sd,FEMALE,1
