utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"['{f uh, } do you have a pet randy? /']",f uh  do you have a pet randy ,qy,MALE,7
"['{f uh, } yeah,  /']",f uh  yeah  ,ny,MALE,9
['currently we have a poodle. /'],currently we have a poodle ,sd,MALE,1
"['a poodle, miniature or, {f uh, } full size? /']",a poodle miniature or f uh  full size ,qy,MALE,7
"['yeah,  /']",yeah  ,ny,MALE,9
"[""{f uh, } it's, {f uh } miniature. /""]",f uh  its f uh  miniature ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
['yeah. /'],yeah ,b,MALE,2
"['i read somewhere that, the poodles is one of [ the, + the ] most intelligent dogs, {f uh, } around. /']",i read somewhere that the poodles is one of  the  the  most intelligent dogs f uh  around ,sd,MALE,1
"[""{d well, } {f um, } [ i wouldn't, + {f uh, } i definitely wouldn't ]  dispute that,  /""]",d well  f um   i wouldnt  f uh  i definitely wouldnt   dispute that  ,sd,MALE,1
"[""[ it, + it's ] actually my wife's dog, {f uh, } [ i, + i ]  became part owner six months ago when we got married,  /""]", it  its  actually my wifes dog f uh   i  i   became part owner six months ago when we got married  ,sd,MALE,1
"['{c but, } {f uh, } it, {f uh, } definitely responds [ to, + {f uh, } to ] authority  /']",c but  f uh  it f uh  definitely responds  to  f uh  to  authority  ,sd,MALE,1
"[""{c and, } i've had dogs in the past  /""]",c and  ive had dogs in the past  ,sd,MALE,1
"['{c and, } {f uh, } [ it seems, + it seems ]  to, {f uh, } respond real well,  /']",c and  f uh   it seems  it seems   to f uh  respond real well  ,sd,MALE,1
"['it, it - /']",it it  ,%,MALE,5
"[""[ she's, + she's ]  picked up a lot of things, {f uh, } [ just, + just ]  by, {f uh, } teaching by force, i guess is what i'd like to say. /""]", shes  shes   picked up a lot of things f uh   just  just   by f uh  teaching by force i guess is what id like to say ,sd,MALE,1
"['{f oh, } uh-huh.  /']",f oh  uhhuh  ,b,MALE,2
"[""{c so, } [ you, + you've ]  only known the dog, [ wh-, + ] how long did you say. /""]",c so   you  youve   only known the dog  wh   how long did you say ,qw,MALE,12
"['{d well, } about a year i guess. /']",d well  about a year i guess ,sd,MALE,1
"['{f oh, } {d well, } {f uh, }  is it, - /']",f oh  d well  f uh   is it  ,qy,MALE,7
"['{f uh, } {f uh, }  how old is the dog? /']",f uh  f uh   how old is the dog ,qw,MALE,12
"['it just turned two, i believe. /']",it just turned two i believe ,sd,MALE,1
"[""{f oh, } it's still just a pup. /""]",f oh  its still just a pup ,bf,MALE,20
"['pretty much,  /']",pretty much  ,aa,MALE,4
"['yeah,  /']",yeah  ,aa,MALE,4
['yeah. /'],yeah ,aa,MALE,4
"['yeah,  /']",yeah  ,b,MALE,2
"['i have a, {f uh, } {d well } a mutt, myself.  /']",i have a f uh  d well  a mutt myself  ,sd,MALE,1
"['i call it a, {f uh, } {f uh, } (( chowperd )) . /']",i call it a f uh  f uh   chowperd   ,sd,MALE,1
['okay. /'],okay ,b,MALE,2
"[""it's, {f uh, } part chow and part shepherd  /""]",its f uh  part chow and part shepherd  ,sd,MALE,1
"['{c and } it, - /']",c and  it  ,%,MALE,5
"['as i understand it, {f uh, } both sides of the, were thoroughbreds. - /']",as i understand it f uh  both sides of the were thoroughbreds  ,sd,MALE,1
"[""{c so, } she's a genuine  (( chowperd )) . /""]",c so  shes a genuine   chowperd   ,sd,MALE,1
"['{f oh, } that sounds interesting. /']",f oh  that sounds interesting ,ba,MALE,6
"['she has [ the, + the ] color  and the black [ to-, + tongue ]  of a chow,  /']",she has  the  the  color  and the black  to  tongue   of a chow  ,sd,MALE,1
"['{c but, } {f uh, } she has [ the shap-, + the shape ] of the, {f uh, } {f uh, } shepherd. /']",c but  f uh  she has  the shap  the shape  of the f uh  f uh  shepherd ,sd,MALE,1
"[""{f oh, } [ that's, + that's ] neat.  /""]",f oh   thats  thats  neat  ,ba,MALE,6
"['[ how,  + about how ] big then? /']", how   about how  big then ,qw,MALE,12
"['{f oh, } she weighs in at about fifty pounds,  /']",f oh  she weighs in at about fifty pounds  ,sd,MALE,1
"[""{c so } she's a medium size. /""]",c so  shes a medium size ,sd,MALE,1
"['yeah,  /']",yeah  ,b,MALE,2
['yeah. /'],yeah ,b,MALE,2
['most definitely. /'],most definitely ,aa,MALE,4
['yeah. /'],yeah ,b,MALE,2
"['{c and } right from day one, she was teaching me./']",c and  right from day one she was teaching me,sd,MALE,1
"[""{f oh, } i wouldn't doubt it,  /""]",f oh  i wouldnt doubt it  ,aa,MALE,4
['yeah. /'],yeah ,aa,MALE,4
"[""<laughter> she's the most intelligent dog i've ever seen.  /""]",laughter shes the most intelligent dog ive ever seen  ,sd,MALE,1
"[""course, i'm a little prejudiced, of course. /""]",course im a little prejudiced of course ,sd,MALE,1
"[""{d well } that's understandable,  /""]",d well  thats understandable  ,ba,MALE,6
"['yeah,  /']",yeah  ,%,MALE,5
"[""it's, {f uh, } -/""]",its f uh  ,%,MALE,5
"['<throat_clearing> {d you know, } the first time i brought  her home, she was only, {f uh, } was it six weeks old.  /']",throatclearing d you know  the first time i brought  her home she was only f uh  was it six weeks old  ,sd,MALE,1
['{c and } i spread the newspapers out in the kitchen area. /'],c and  i spread the newspapers out in the kitchen area ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
"['{c but, } {f uh, } next morning, she let me know in no uncertain terms that she wanted to use the bathroom. /']",c but  f uh  next morning she let me know in no uncertain terms that she wanted to use the bathroom ,sd,MALE,1
['okay. /'],okay ,b,MALE,2
"['{c so, } on next night, i spread the newspaper in the  bathroom  /']",c so  on next night i spread the newspaper in the  bathroom  ,sd,MALE,1
['{c and } she used them there. /'],c and  she used them there ,sd,MALE,1
['oh. /'],oh ,b,MALE,2
