utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"['okay,  /']",okay  ,"fo_o_fw_""_by_bc",FEMALE,0
"[""i'll just go with you first.  /""]",ill just go with you first  ,sd,FEMALE,1
['what kind of --'],what kind of ,qo,FEMALE,25
['okay. /'],okay ,b,FEMALE,2
['-- eating out do you enjoy? /'], eating out do you enjoy ,+,FEMALE,0
"['{d well, } i like dining out.  /']",d well  i like dining out  ,sd,FEMALE,1
"[""of course, it means that i don't have to cook. /""]",of course it means that i dont have to cook ,sd,FEMALE,1
['right <laughter>. /'],right laughter ,b,FEMALE,2
"[""{c but, }  {f um, } i'm a divorced woman.  /""]",c but   f um  im a divorced woman  ,sd,FEMALE,1
['i have one child -- /'],i have one child  ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"['--  {c and, } {d you know, } [ when, + when ] we dine out we go to {d like } medium priced restaurants. /']",  c and  d you know   when  when  we dine out we go to d like  medium priced restaurants ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"[""[ i don't, + i don't particularly, ] - /""]", i dont  i dont particularly   ,%,FEMALE,5
"[""i think it's sort of a waste of money to go [ real, + to a real ] high priced restaurant. /""]",i think its sort of a waste of money to go  real  to a real  high priced restaurant ,sv,FEMALE,3
"['do you go {d like } home cooking, like black-eyed pea and that kind of thing or --']",do you go d like  home cooking like blackeyed pea and that kind of thing or ,qy,FEMALE,7
"['<lipsmack> {f um, } [ [ e-, + n-, ] +']",lipsmack f um    e  n  ,ng,FEMALE,29
['-- cafeteria? /'], cafeteria ,+,FEMALE,0
['not ] really.  /'],not  really  ,+,FEMALE,0
"['we go [ wh-, + more ] for the, {f uh, } chinese --']",we go  wh  more  for the f uh  chinese ,sd,FEMALE,1
['me too <laughter>. /'],me too laughter ,sd,FEMALE,1
['-- and italian --'], and italian ,+,FEMALE,0
['uh-huh. /'],uhhuh ,b,FEMALE,2
"['-- and stuff like that.   mexican, stuff --']", and stuff like that   mexican stuff ,+,FEMALE,0
"['mexican,  /']",mexican  ,b^m,FEMALE,24
['uh-huh. /'],uhhuh ,b,FEMALE,2
"[""-- that i can't cook <laughter>. /""]", that i cant cook laughter ,+,FEMALE,0
"['{f uh, } we do too.  /']",f uh  we do too  ,sd,FEMALE,1
['we do the same. /'],we do the same ,sd,FEMALE,1
['yeah. /'],yeah ,b,FEMALE,2
['what are your favorite places? /'],what are your favorite places ,qw,FEMALE,12
"['{f um, } {d well, } i like chinese food. /']",f um  d well  i like chinese food ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"[""{f um, } there's a little place down on, {a what is that? }  coit road, {f um, }  (( chinese pavilion ))  or something.""]",f um  theres a little place down on a what is that   coit road f um    chinese pavilion   or something,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
['that is really good  /'],that is really good  ,+,FEMALE,0
['{c and } i like it.   /'],c and  i like it   ,sd,FEMALE,1
"['{c and, }  {f um, } [ i do, + i do ] like  chinese buffets. /']",c and   f um   i do  i do  like  chinese buffets ,sd,FEMALE,1
"['{f oh, } yeah.  /']",f oh  yeah  ,b,FEMALE,2
"[""{d well, } [ we go, + we've gone ] to august moon  /""]",d well   we go  weve gone  to august moon  ,sd,FEMALE,1
['{c and } we think that was real good -- /'],c and  we think that was real good  ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"['-- {c but } our favorite when you have a little more to spend, is to go to taiwan or may dragon. /']", c but  our favorite when you have a little more to spend is to go to taiwan or may dragon ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
['{c and } those are excellent.  /'],c and  those are excellent  ,sd,FEMALE,1
"[""they're really a nice place you could take someone to eat. /""]",theyre really a nice place you could take someone to eat ,sd,FEMALE,1
['right. /'],right ,b,FEMALE,2
"[""it's not [ the, + the ] rinky chinese decorations -- /""]",its not  the  the  rinky chinese decorations  ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"[""-- {c but } it's a very elegant nice place to eat. /""]", c but  its a very elegant nice place to eat ,sd,FEMALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"['[ we go, very, + very often we go ] out for fajitas.  /']", we go very  very often we go  out for fajitas  ,sd,FEMALE,1
"[""that's - /""]",thats  ,%,FEMALE,5
['my husband has just gotten stuck. /'],my husband has just gotten stuck ,sd,FEMALE,1
['oh <laughter>. /'],oh laughter ,b,FEMALE,2
