utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"['{d well, } are you in the market for a new car? /']",d well  are you in the market for a new car ,qy,FEMALE,7
"['{f uh, } {d well, } yeah,  /']",f uh  d well  yeah  ,ny,MALE,9
['i am as a matter of fact.  /'],i am as a matter of fact  ,sd,MALE,1
"[""{d well, } {d [ act-, + actually ] } i'm looking for another car,  /""]",d well  d  act  actually   im looking for another car  ,sd,MALE,1
"['{c but, } {f uh, } {f uh, } new,  /']",c but  f uh  f uh  new  ,sd,MALE,1
['probably not. -/'],probably not ,%,MALE,5
['oh.  /'],oh  ,b,FEMALE,2
['what sort of requirements to you have for your car? /'],what sort of requirements to you have for your car ,qw,FEMALE,12
"['{f uh, } sports car. /']",f uh  sports car ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"['{f uh, } usually {c either } black {c or } red. /']",f uh  usually c either  black c or  red ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"['and electric windows, and power locks <laughter>. /']",and electric windows and power locks laughter ,sd,MALE,1
['i see <laughter>. /'],i see laughter ,ba,FEMALE,6
"['{d now, } -/']",d now  ,%,MALE,5
"['[ top of, + <laughter> top of ] the line. /']", top of  laughter top of  the line ,qy^d,FEMALE,16
"['{d well, } not so much that as it is, - /']",d well  not so much that as it is  ,ng,MALE,29
"[""i've had so many times when, {f uh, } {f uh, } {d you know, } i'll have a friend next to me or i see [ somebody, + ] {f uh, } guy broken down on the side of the road and try to lean over and roll down the window. /""]",ive had so many times when f uh  f uh  d you know  ill have a friend next to me or i see  somebody   f uh  guy broken down on the side of the road and try to lean over and roll down the window ,sd,MALE,1
['oh. /'],oh ,b,FEMALE,2
"['it is just a real pain,  /']",it is just a real pain  ,sd,MALE,1
"[""{c or, } {d you know, } if i'm driving along and there's somebody next to me and, {f uh, } somebody that i know and you try to talk to them --""]",c or  d you know  if im driving along and theres somebody next to me and f uh  somebody that i know and you try to talk to them ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,FEMALE,2
"[""-- it's real difficult to drive, reach over, and try to roll down the window. /""]", its real difficult to drive reach over and try to roll down the window ,+,MALE,0
"['right,  /']",right  ,b,FEMALE,2
['right. /'],right ,b,FEMALE,2
"['[ {c and, } + {f uh, } {c so, } ] power locks, power windows are [ just, +  just ] things that, {f uh, } just really help a lot <laughter>. /']", c and   f uh  c so   power locks power windows are  just   just  things that f uh  just really help a lot laughter ,sv,MALE,3
"['uh-huh,  /']",uhhuh  ,b,FEMALE,2
['uh-huh. /'],uhhuh ,b,FEMALE,2
['what about you? /'],what about you ,qo,MALE,25
"[""{d well, } i guess i'm, {f uh, } more traditional in that i don't like [ p-, + <laughter> power ] windows or power locks,""]",d well  i guess im f uh  more traditional in that i dont like  p  laughter power  windows or power locks,sd,FEMALE,1
['<laughter>.'],laughter,x,MALE,8
